#{"t_start": 1627925653.4908974, "env_id": 0}
r,l,t
-8.079505,50,5.044507
-36.963591,50,10.294702
-36.031039,50,17.464966
-2.930008,50,22.621605
-24.141983,50,27.453366
-5.847232,50,35.116507
-2.201803,50,39.7489
-4.057007,50,47.866045
-4.730716,50,52.998441
-6.432811,50,57.748801
-21.276164,50,65.701003
-2.376406,50,70.708482
-32.51571,50,78.956904
-7.769773,50,83.542325
-19.823363,50,88.612215
-5.080365,50,96.056375
-1.766029,50,101.266922
-18.091656,50,108.946295
-2.635314,50,114.835755
-21.38252,50,120.133033
-0.865883,50,128.240376
-2.006595,50,133.02897
-0.840175,50,137.973755
-26.971984,50,146.480412
-12.439256,50,151.503384
-26.860638,50,158.908739
-3.203266,50,163.707847
-8.531084,50,169.340206
-18.879087,50,177.550012
-28.128726,50,182.807369
-11.878168,50,191.462685
-13.975606,50,196.501323
-21.631202,50,201.383711
-11.80167,50,209.719638
-26.347698,50,214.773859
-6.512892,50,222.667731
-12.352429,50,228.054597
-2.531932,50,233.546321
-3.947153,50,241.585327
-1.892017,50,246.87391
-15.117387,50,254.709627
-5.785817,50,259.465985
-38.522313,50,264.567081
-4.203327,50,272.132754
-2.83251,50,277.1133
-6.072808,50,282.643352
-5.640961,50,290.743711
-5.17532,50,296.242398
-8.360677,50,304.01472
-2.924668,50,308.689527
-35.500789,50,313.388711
-3.014837,50,321.598704
-0.709317,50,326.840484
-3.489588,50,334.828078
-2.127189,50,340.230521
-1.090122,50,345.837806
-26.988438,50,353.939199
-4.571791,50,358.821498
-20.131702,50,366.428012
-4.44702,50,371.732457
-35.18629,50,376.316952
-37.609637,50,384.683971
-39.780258,50,389.550614
-10.262828,50,394.374629
-42.296306,50,402.503044
-36.614875,50,407.932375
-14.345047,50,415.814016
-14.46364,50,420.437666
-29.391954,50,425.808677
-38.659142,50,433.530648
-4.285821,50,438.80362
-31.390653,50,447.224401
-6.417471,50,452.115399
-2.654579,50,457.216445
-2.878115,50,465.323855
