#{"t_start": 1628582083.2266998, "env_id": 0}
r,l,t
4.600841,70,53034.419
3.785244,70,53048.5615
4.554394,70,53058.774999
5.19255,70,53072.375499
3.622929,70,53083.299499
4.476571,70,53098.1825
0.88594,70,53108.181999
0.641704,70,53122.2215
4.817565,70,53132.788499
3.541719,70,53146.834
3.792614,70,53161.189999
2.68104,70,53170.5315
4.271451,70,53185.016999
3.691871,70,53196.484
2.765834,70,53210.2515
1.906187,70,53222.2455
0.664911,70,53236.241499
1.514532,70,53245.844999
0.505473,70,53260.663
4.662157,70,53270.884
4.714598,70,53284.714499
-2.175107,70,53298.711
0.832118,70,53309.5245
1.689937,70,53322.841
-3.391041,70,53333.468498
0.121426,70,53347.146999
3.985171,70,53358.061999
0.633597,70,53372.997499
1.396212,70,53382.7215
-2.154004,70,53396.354498
3.400813,70,53406.3525
0.35394,70,53419.392
-2.113479,70,53433.884499
0.78228,70,53444.154499
0.616607,70,53458.785
-1.683324,70,53469.530999
3.574643,70,53482.965
0.337045,70,53492.736999
3.926808,70,53506.187499
-1.919046,70,53514.4925
1.865927,70,53527.984499
0.911954,70,53537.7065
4.605642,70,53552.668499
0.027092,70,53568.336999
0.71258,70,53578.676
-1.379864,70,53591.8845
3.502191,70,53602.423
0.56066,70,53617.4495
-0.730109,70,53627.343499
5.097956,70,53642.225999
2.660523,70,53652.6005
3.122893,70,53666.428
-0.841355,70,53677.153
1.549395,70,53691.267498
3.09826,70,53706.738499
-0.524925,70,53717.239
2.711365,70,53731.091
2.62408,70,53741.1005
3.294942,70,53754.797
0.432894,70,53765.2425
4.304211,70,53778.707499
0.204752,70,53788.2695
-1.727091,70,53801.564499
1.992065,70,53811.820498
4.538676,70,53827.412
3.555419,70,53841.8495
0.419217,70,53852.493
4.191618,70,53865.668999
3.873833,70,53876.873999
3.705398,70,53891.026999
-0.627941,70,53902.746
-1.346556,70,53916.6485
4.5025,70,53927.433
3.979167,70,53941.620499
3.24742,70,53956.947
-0.933054,70,53969.675
0.374399,70,53986.6505
2.40366,70,53998.286
3.564382,70,54012.329
5.117401,70,54023.769499
-0.017237,70,54037.066999
4.293623,70,54047.986
4.01697,70,54062.807999
3.051334,70,54073.637497
3.511326,70,54087.23
4.401335,70,54103.74
3.944318,70,54115.6655
1.745976,70,54129.969
3.470232,70,54140.524499
-0.532719,70,54154.5905
4.255897,70,54164.5955
-1.442997,70,54179.5795
0.359671,70,54189.467499
4.502386,70,54203.2755
3.044832,70,54214.974499
3.944647,70,54228.8255
4.350803,70,54244.714
