#{"t_start": 1628790993.5504978, "env_id": 0}
r,l,t
-6.569924,59,55436.839497
-4.823936,70,55451.308499
-5.288209,70,55462.082999
-5.68131,57,55470.420998
0.417816,70,55484.2035
-6.575861,70,55498.711499
-5.336886,70,55509.734998
-3.759111,70,55524.740997
1.333511,70,55536.163999
-3.133822,70,55550.6205
-1.316008,70,55561.173999
-1.062219,70,55575.817999
-5.098838,56,55584.367999
-5.41909,57,55597.284499
0.780176,70,55611.154
-0.719662,70,55624.955001
0.90226,70,55636.834497
0.840035,70,55651.7995
-2.846618,70,55663.231498
-5.186929,62,55677.411999
0.259217,70,55690.295999
-3.790051,70,55701.739499
-8.369306,64,55714.502499
-8.093698,67,55723.623499
1.092945,70,55739.287
-2.885505,70,55748.76
-1.98617,70,55763.487998
-1.869861,70,55774.579999
-1.091117,70,55788.793499
-7.01259,58,55798.308
-5.573014,61,55811.504499
0.255055,70,55821.040999
-8.035581,65,55834.247001
1.196129,70,55844.252
0.872319,70,55859.074499
0.389599,70,55870.857498
-3.879688,70,55885.913499
-2.223289,70,55899.446
-2.970679,70,55911.834999
-3.726116,70,55927.013
-3.863297,70,55936.927499
-1.553542,70,55952.303499
0.061121,70,55963.079998
-1.913117,70,55977.736997
0.303941,70,55987.470499
-0.211112,70,56003.672498
-4.447495,55,56012.48
1.140158,70,56028.147998
0.155826,70,56040.31
0.44633,70,56056.597499
0.66506,70,56070.581499
0.742436,70,56082.622999
-0.201545,70,56097.655999
-4.380523,67,56106.007998
0.151926,70,56121.277497
-0.303091,70,56131.370497
-6.908716,61,56145.267
-0.342934,70,56156.542499
0.889259,70,56169.825498
0.52574,70,56182.130999
0.457236,70,56198.414499
-5.823279,57,56206.294
-1.674748,70,56220.244999
-0.224232,70,56229.872499
0.003328,70,56242.643
-4.005826,70,56256.7395
-3.999221,70,56268.2065
-0.396529,70,56284.498999
-5.975815,61,56293.391499
0.073196,70,56307.333499
-3.419243,70,56319.087499
-3.136827,70,56332.178997
-6.834131,61,56342.035499
-4.084099,70,56356.760497
-5.127543,70,56367.058
0.128244,70,56382.402498
-0.999062,70,56392.523001
1.265855,70,56407.2765
-1.135061,70,56421.958499
-8.227042,66,56433.1025
1.222457,70,56448.4985
0.1561,70,56458.4415
-3.481891,70,56473.964499
-1.31616,70,56484.472499
-6.35592,66,56498.973997
-1.994697,70,56510.7895
-6.54895,55,56522.352998
-2.833621,70,56533.6835
-0.879911,70,56548.272497
-5.084252,62,56557.764999
-0.673523,70,56574.935999
-1.411282,70,56586.397999
0.184061,70,56602.423999
-0.877485,70,56614.147998
-5.163785,70,56629.883501
-10.202983,66,56643.5995
-3.110029,70,56656.709501
-0.700262,70,56670.9255
0.669677,70,56682.812
-4.100358,70,56698.317499
-3.046057,70,56710.683999
-4.284334,70,56727.784499
-5.640777,68,56738.983
-5.130641,66,56753.351999
-0.624392,70,56763.502499
0.827358,70,56778.988999
-6.128275,58,56790.029999
-6.505803,56,56802.683999
-0.394773,70,56813.894
0.451526,70,56830.342997
-7.311685,69,56842.491999
-0.277114,70,56858.0165
0.074674,70,56871.890999
0.815139,70,56884.903
1.218974,70,56899.221
-0.449234,70,56911.0015
-6.000816,70,56923.990999
-4.152341,70,56938.6735
0.369543,70,56955.252
-0.512713,70,56967.3725
0.482257,70,56984.632998
-0.070803,70,56997.295998
0.982023,70,57011.156999
-5.316863,58,57019.773499
-6.512969,62,57033.053499
-1.283067,70,57047.286999
-3.184219,70,57057.0395
-0.192625,70,57074.489501
0.660481,70,57085.998999
0.617734,70,57102.809997
-3.637738,70,57114.5415
0.702322,70,57130.5595
-6.006136,64,57140.747001
-6.283269,66,57154.505999
-3.336675,70,57163.642
-4.10392,70,57179.007
-7.048582,66,57189.924
-2.993535,70,57203.100498
-7.01115,70,57219.921497
0.414787,70,57231.867499
-5.210843,57,57244.219
0.090456,70,57255.278499
0.774674,70,57270.488999
-0.041914,70,57282.166999
-0.136232,70,57297.929
1.269799,70,57309.558999
-6.271397,60,57321.296499
-0.889093,70,57332.465999
-0.685878,70,57347.998999
1.15357,70,57360.063499
-3.656697,70,57375.335998
-6.841468,67,57385.1285
-6.681777,62,57399.547998
-5.874807,58,57409.498999
1.087957,70,57423.625
-4.631872,54,57433.445997
0.670584,70,57448.225499
1.367245,70,57461.507499
0.316105,70,57477.259998
-1.848524,70,57492.825498
-0.449552,70,57503.641
-4.43194,70,57518.447999
0.348239,70,57530.784497
-5.657672,70,57547.385
-3.721462,70,57559.905
0.138164,70,57576.997997
-5.498917,59,57585.640499
-4.527764,70,57601.677498
-1.016098,70,57612.958499
0.757594,70,57629.542499
0.699033,70,57642.486999
-0.416497,70,57658.024
0.587383,70,57672.241999
-7.082796,69,57684.0515
0.526223,70,57700.057997
-4.325606,70,57710.498499
0.361473,70,57723.9295
-0.432895,70,57733.385997
-4.147956,70,57750.3015
-3.499525,70,57762.294
