#{"t_start": 1627925653.504297, "env_id": 0}
r,l,t
-37.416239,50,4.984226
-2.316691,50,10.265676
-3.865514,50,17.467191
-4.289931,50,22.576952
-39.428758,50,27.385989
-5.477476,50,35.087481
-36.829536,50,39.735501
-5.086575,50,47.852645
-2.128689,50,52.969414
-2.018231,50,57.719774
-5.953894,50,65.687603
-1.536286,50,70.695082
-25.248115,50,78.912252
-6.897454,50,83.544555
-2.216566,50,88.567563
-0.890248,50,96.0586
-18.48442,50,101.300402
-1.214539,50,108.932896
-4.208895,50,114.869234
-1.782764,50,120.072754
-2.173665,50,128.258231
-28.134059,50,132.984319
-0.473897,50,137.944728
-2.627055,50,146.373253
-3.621028,50,151.443106
-39.483837,50,158.879711
-41.443689,50,163.694447
-5.206426,50,169.311178
-14.643406,50,177.505362
-3.280833,50,182.79397
-2.200955,50,191.418033
-33.585459,50,196.456669
-39.274218,50,201.354685
-3.007936,50,209.690611
-0.856835,50,214.729205
-2.044939,50,222.560572
-6.654582,50,228.103706
-6.762815,50,233.532921
-2.535295,50,241.525048
-0.960114,50,246.844883
-2.234615,50,254.664974
-2.43053,50,259.405706
-36.325675,50,264.538055
-24.031494,50,272.166233
-8.344566,50,277.099901
-5.183054,50,282.567445
-29.49457,50,290.69906
-15.730383,50,296.228998
-15.406818,50,304.032573
-1.539756,50,308.660501
-36.041873,50,313.375312
-34.749653,50,321.569679
-17.184891,50,326.811457
-35.251727,50,334.845929
-36.740465,50,340.264001
-13.466604,50,345.840035
-23.666145,50,353.910174
-0.356273,50,358.808098
-47.603755,50,366.367733
-42.251389,50,371.672177
-15.594391,50,376.334807
-34.168545,50,384.717453
-0.933037,50,389.537215
-2.211855,50,394.3456
-1.382283,50,402.489644
-4.111515,50,407.887721
-2.151122,50,415.800616
-5.660393,50,420.40864
-11.465349,50,425.795278
-11.363102,50,433.532878
-34.54913,50,438.79022
-2.23397,50,447.211002
-2.554229,50,452.05512
-21.008188,50,457.234299
-15.842114,50,465.326082
-3.852373,50,470.603378
-4.904269,50,478.39517
-4.533002,50,483.683692
-11.297935,50,488.909816
-3.712416,50,496.877654
-32.117699,50,502.10381
-3.110898,50,510.08021
-2.633666,50,515.650047
-4.513238,50,520.610585
-4.849708,50,528.071408
-2.360395,50,532.781898
-36.904653,50,537.851701
-4.108079,50,545.34867
-27.870104,50,549.981038
-37.715012,50,557.660571
-39.754679,50,562.35546
-8.748479,50,567.175423
-13.891461,50,575.002498
-1.39328,50,579.916115
-2.093248,50,587.845633
-39.099025,50,592.555103
-33.992741,50,597.357293
-8.222172,50,604.723303
-5.344601,50,609.324333
-23.974509,50,616.831886
-39.727036,50,621.604821
-3.12643,50,626.78404
-5.266681,50,634.595481
-3.062738,50,639.508119
-1.312042,50,647.624207
-6.086097,50,652.693949
-40.268778,50,657.591991
-38.521565,50,665.707463
-39.263622,50,670.415637
-37.679652,50,675.094829
-5.599985,50,683.164806
-12.001417,50,688.015901
-2.338431,50,696.186184
-5.860259,50,701.162293
-0.534038,50,705.834523
-25.148015,50,713.802242
-38.949311,50,718.403218
-7.334425,50,726.410889
-35.335509,50,730.94942
-4.193259,50,736.331846
-3.717205,50,744.198816
-8.559017,50,749.471685
-9.20566,50,757.438363
-36.583792,50,762.555035
-6.622535,50,767.649171
0.204648,50,775.726258
-4.890558,50,780.874157
-3.086552,50,786.006613
-1.103555,50,794.373593
-4.441414,50,799.365466
-4.026223,50,807.152496
-1.99571,50,811.846363
-5.952754,50,816.736039
-2.832518,50,824.687253
-2.500902,50,829.402859
-37.809417,50,837.13639
-27.258052,50,842.143784
-2.256903,50,847.651235
-1.560082,50,855.049428
-1.949439,50,859.978668
-0.320452,50,867.571473
-1.287893,50,872.320058
-41.325957,50,877.618109
-34.340147,50,885.358396
-1.863072,50,890.389432
-2.397608,50,898.477629
-3.008164,50,902.969316
-2.398476,50,907.898492
-1.438774,50,916.045232
-35.350299,50,921.06816
-0.501965,50,925.981717
-41.564275,50,933.239339
-38.204535,50,938.214425
-5.567641,50,945.581388
-2.823719,50,950.666925
-4.502816,50,955.393059
-36.415401,50,963.619429
-32.731543,50,968.236104
-29.319125,50,976.009305
-1.90913,50,981.188546
-39.170542,50,986.055225
-39.793889,50,993.17219
-32.076922,50,997.648247
-35.411921,50,1005.521147
-23.731807,50,1010.575339
-9.615835,50,1015.176444
-17.752455,50,1023.119556
-18.255086,50,1027.92398
-0.934473,50,1035.562784
-8.18528,50,1040.601377
-38.214336,50,1045.072667
-3.190738,50,1052.439617
-7.363422,50,1057.228467
-2.188908,50,1061.766032
-35.471627,50,1069.451632
-36.654952,50,1074.155113
-2.904737,50,1081.799004
-36.65976,50,1086.540618
-2.110174,50,1091.021157
-19.134424,50,1098.591366
-28.511581,50,1103.770603
-1.882602,50,1111.549831
-12.35075,50,1116.072779
-13.370949,50,1120.923904
-37.215687,50,1128.540836
-4.419098,50,1133.345068
-34.46656,50,1140.561342
-25.75334,50,1145.818845
-0.558239,50,1151.060548
-8.907779,50,1158.739908
-36.102011,50,1163.276526
-16.605686,50,1168.22133
-36.353239,50,1175.744375
-6.664837,50,1180.642352
-8.085949,50,1188.837513
0.187102,50,1194.094915
-20.21562,50,1199.430366
-21.718251,50,1207.109466
-10.317257,50,1212.163696
-39.453484,50,1219.754529
-28.275332,50,1225.136981
-40.610164,50,1229.988031
-41.529172,50,1237.760357
-40.730967,50,1242.439785
-6.667113,50,1250.115019
-15.583243,50,1254.82566
-2.376589,50,1259.83304
-39.052857,50,1267.293773
-1.425827,50,1272.182176
-1.748807,50,1280.673242
-37.834336,50,1285.218022
-4.338448,50,1290.421539
-42.597785,50,1298.464486
-3.171035,50,1304.06557
-4.068414,50,1309.46357
-2.926633,50,1317.616546
-13.517621,50,1322.103877
-34.629088,50,1329.872945
-11.423669,50,1335.270973
-33.172755,50,1339.933459
-9.783073,50,1347.143284
-21.094968,50,1351.572393
-5.422295,50,1359.515455
-2.043072,50,1364.288426
-19.241834,50,1369.233345
-33.595403,50,1376.973378
-0.686936,50,1381.652519
-8.577823,50,1389.337073
-0.613507,50,1394.411139
-9.793686,50,1398.949754
-39.91301,50,1406.34271
-5.240686,50,1411.178219
-2.150679,50,1419.091079
-1.763812,50,1424.145324
-3.94961,50,1428.933965
-33.859196,50,1436.322326
-41.074409,50,1441.041435
-1.627187,50,1445.908143
-11.627141,50,1454.150196
-1.588674,50,1459.079448
-41.516988,50,1467.013446
-2.224118,50,1471.894818
-7.044191,50,1476.464611
-4.311545,50,1483.94782
-18.717619,50,1488.79891
-2.506523,50,1496.461879
-31.688334,50,1501.405729
-15.905205,50,1506.147459
-15.851869,50,1514.271487
-6.661111,50,1519.689371
-3.051322,50,1527.987873
-38.834444,50,1532.884907
-4.179711,50,1537.771493
-3.202537,50,1546.351141
-1.370025,50,1551.077338
-1.459354,50,1556.647164
-11.759709,50,1564.701719
-1.314918,50,1569.20712
-2.062337,50,1577.659187
-36.317561,50,1582.909585
-39.580679,50,1587.532265
-4.866321,50,1595.177953
-0.737736,50,1600.35193
-9.525516,50,1608.358992
-40.516474,50,1612.960172
-2.508085,50,1617.802755
-1.527525,50,1626.098717
-40.847414,50,1631.403121
-1.333174,50,1639.634488
-20.572139,50,1644.53254
-9.297863,50,1649.305596
-2.452949,50,1656.982261
-1.54914,50,1662.223891
-39.32534,50,1670.215958
-1.635983,50,1675.66679
-10.737919,50,1680.799253
-1.73737,50,1688.132967
-2.353789,50,1692.82779
-4.927845,50,1697.835329
-36.363684,50,1705.744061
-40.563516,50,1710.556923
-4.916889,50,1718.289447
-36.437146,50,1722.812327
-0.972013,50,1728.002773
-13.175118,50,1735.849094
-2.809153,50,1740.762722
-23.371595,50,1748.495951
-2.947975,50,1753.340064
-14.479747,50,1758.144251
-1.511328,50,1765.917412
-5.938459,50,1771.191739
-2.494476,50,1779.390733
-4.759484,50,1784.75538
-2.501241,50,1789.521365
-3.27029,50,1797.035942
-2.768792,50,1802.230903
-17.49158,50,1809.815527
-0.247419,50,1814.650055
-25.9611,50,1820.501146
-10.826423,50,1828.623232
-1.9134,50,1833.927515
-3.847022,50,1838.591126
-3.014202,50,1846.925928
-46.306928,50,1852.073886
-5.5612,50,1860.30529
-18.804342,50,1865.639794
-2.346583,50,1870.397134
-36.797775,50,1878.216287
-2.67076,50,1883.281878
-0.914342,50,1891.018615
-40.727442,50,1895.753579
-3.280771,50,1900.800838
-0.718585,50,1909.143445
-7.839775,50,1914.230198
-8.420061,50,1922.076252
-11.672166,50,1926.943151
-19.93884,50,1932.184833
-33.61331,50,1939.964965
-14.107345,50,1944.512182
-5.21783,50,1949.341216
-40.599414,50,1956.953876
-22.822562,50,1961.789305
-3.098029,50,1969.943453
-9.11124,50,1974.997695
-9.329437,50,1979.911315
-2.647769,50,1987.637657
-38.625405,50,1992.653662
-2.091692,50,2000.141212
-21.441078,50,2005.184228
-1.756648,50,2010.06659
-19.003202,50,2017.878008
-13.72899,50,2022.744776
-4.738071,50,2030.603186
-21.553894,50,2035.478554
-8.17827,50,2040.704608
-2.859973,50,2049.094345
-13.72828,50,2054.600619
-2.444675,50,2062.334088
-2.087755,50,2067.013354
-4.752778,50,2072.176954
-35.966705,50,2080.356463
-2.803348,50,2086.176349
-38.619667,50,2091.496422
-1.317878,50,2099.691628
-23.217383,50,2104.56547
-1.781129,50,2112.27622
-10.650654,50,2118.299145
-35.93169,50,2123.603382
-5.077622,50,2131.626547
-5.643859,50,2136.633778
-2.05392,50,2144.436325
-1.026297,50,2149.240604
-2.086491,50,2153.732329
-8.210411,50,2161.167754
-4.964026,50,2166.590041
-2.66207,50,2174.776757
-8.430181,50,2179.674699
-36.641439,50,2184.869572
-4.930088,50,2192.627137
-3.221056,50,2197.618798
-44.492134,50,2205.31286
-8.245614,50,2210.866926
-38.584447,50,2215.639772
-16.455648,50,2224.02771
-3.201468,50,2228.800612
-4.0132,50,2233.620373
-39.660689,50,2240.87264
-37.727611,50,2245.87575
-2.247874,50,2253.399009
-1.534657,50,2258.547048
-40.942512,50,2263.226268
-10.52828,50,2271.098451
-3.320746,50,2276.043308
-41.318918,50,2283.597652
-1.579425,50,2289.058171
-24.561177,50,2293.971837
-2.396663,50,2301.348939
-9.953442,50,2306.367763
-4.257045,50,2314.671031
-6.141469,50,2319.928432
-25.777998,50,2324.654545
-35.541889,50,2331.903376
-39.608241,50,2337.051329
-0.225932,50,2341.918198
-17.413369,50,2349.894488
-0.585271,50,2355.47995
-39.325822,50,2362.970969
-2.95869,50,2368.150454
-3.317922,50,2374.064105
-5.554677,50,2382.077967
-10.456071,50,2387.725949
-26.269635,50,2395.279541
-2.328616,50,2400.739955
-0.471539,50,2406.294179
-8.505276,50,2414.000509
-40.613332,50,2419.198756
-6.133223,50,2426.550042
-1.111096,50,2431.680418
-22.260493,50,2436.922278
-19.201232,50,2445.155651
-15.301941,50,2450.0527
-3.046138,50,2458.044692
-2.387106,50,2463.380165
-0.859536,50,2468.457033
-9.646348,50,2475.923738
-3.937964,50,2480.689723
-1.151826,50,2486.020758
-7.322448,50,2494.03977
-45.559937,50,2499.359705
-1.227957,50,2507.32039
-1.107821,50,2512.796536
-2.392418,50,2518.038443
-14.203662,50,2525.624215
-6.630084,50,2531.236695
-36.619534,50,2538.739958
-4.851157,50,2544.511918
-35.448154,50,2549.722474
-37.857824,50,2557.808243
-7.393142,50,2563.158438
-2.507669,50,2570.921855
-3.062983,50,2575.76597
-33.615158,50,2580.367092
-2.620918,50,2588.163208
-2.117607,50,2593.342358
-15.673808,50,2600.896739
-1.440041,50,2605.857223
-2.918352,50,2610.723787
-35.585855,50,2618.244941
-0.284765,50,2622.971092
-7.990963,50,2628.134689
-38.954025,50,2636.361166
-2.151678,50,2641.164303
-0.791199,50,2648.967813
-14.458357,50,2654.199897
-25.0244,50,2659.160326
-41.29322,50,2667.376073
-23.312272,50,2672.153336
-36.336442,50,2679.936167
-7.245367,50,2685.08412
-4.534259,50,2690.122593
-38.391958,50,2698.762062
-2.857294,50,2703.373727
-3.875468,50,2711.361217
-38.062207,50,2716.498118
-38.65443,50,2721.364807
-2.104911,50,2730.096265
-1.515272,50,2735.456043
-2.314044,50,2740.666474
-4.565125,50,2748.492665
-11.108409,50,2753.531286
-5.668613,50,2762.217713
-9.272413,50,2767.803306
-2.781674,50,2773.627476
-11.296223,50,2782.332941
-2.858295,50,2787.324749
-8.356272,50,2795.644068
-28.149533,50,2800.838962
-1.680573,50,2805.782743
-34.812156,50,2813.96734
-41.552707,50,2819.052857
-1.236103,50,2827.356461
-35.076828,50,2832.129459
-0.827475,50,2837.121137
-2.240802,50,2844.977573
-22.413781,50,2850.016207
-0.62233,50,2857.80412
-4.788792,50,2862.905285
-5.637139,50,2867.928159
-3.656657,50,2876.028548
-8.152505,50,2880.707643
-1.019069,50,2886.449444
-12.814595,50,2894.409142
-2.157712,50,2899.150811
-5.371834,50,2907.77918
-3.542946,50,2912.536738
-2.928947,50,2917.507657
-21.660472,50,2925.295504
-0.687353,50,2930.349853
-2.939124,50,2938.386712
-1.033901,50,2943.456468
-2.291933,50,2948.479498
-38.770052,50,2956.32028
-37.787221,50,2961.623724
-0.393842,50,2969.646989
-2.95657,50,2974.513697
-2.141189,50,2979.947354
-2.218005,50,2987.77446
-39.262084,50,2992.884217
-3.00217,50,3000.724941
-1.789154,50,3006.232398
-2.289945,50,3011.7188
-26.142442,50,3020.205913
-1.374489,50,3025.557243
-8.764147,50,3030.57325
-35.54438,50,3038.420228
0.365748,50,3043.686907
-11.622618,50,3051.757011
-16.121798,50,3056.904006
-40.666867,50,3061.482474
-14.553326,50,3069.012666
-1.689596,50,3075.191955
-22.093007,50,3084.237791
-1.744113,50,3089.54628
-37.3357,50,3094.777218
-3.137856,50,3102.932881
-14.310936,50,3109.056556
-11.56989,50,3117.517289
-4.257698,50,3122.774669
-3.143753,50,3127.953875
-5.373303,50,3135.679182
-3.124526,50,3140.858549
-3.503757,50,3146.006527
-6.268325,50,3153.998639
-2.777257,50,3159.387776
-13.00636,50,3167.338002
-2.758862,50,3172.282906
-7.207981,50,3178.493474
-7.666499,50,3186.509919
-9.378685,50,3191.949224
-36.049743,50,3199.175537
-3.447538,50,3203.948494
-39.67487,50,3210.018446
-9.447808,50,3218.110106
-10.109883,50,3223.21122
-16.532951,50,3230.326285
-10.081778,50,3235.39617
-9.375751,50,3240.466123
-36.852759,50,3247.958039
-17.113962,50,3252.918567
-7.585138,50,3260.832428
-1.961327,50,3266.433673
-14.422625,50,3271.315041
-22.705321,50,3278.914423
-0.611815,50,3284.156216
-2.640602,50,3290.236431
-2.094849,50,3298.391555
-37.059666,50,3303.715891
-10.666236,50,3311.633845
-2.374329,50,3316.578741
-5.586187,50,3322.336014
-40.120005,50,3330.906229
-12.036992,50,3335.585407
-39.266186,50,3343.702421
-22.711505,50,3349.147346
-36.396546,50,3354.146125
-15.63784,50,3361.98081
-19.68067,50,3366.753921
-4.299252,50,3374.636554
-41.165653,50,3380.253407
-38.24924,50,3385.153565
-21.12334,50,3392.910201
-20.775451,50,3398.558137
