time,/jointset/ground_pelvis/pelvis_tilt/value,/jointset/ground_pelvis/pelvis_tilt/speed,/jointset/ground_pelvis/pelvis_tx/value,/jointset/ground_pelvis/pelvis_tx/speed,/jointset/ground_pelvis/pelvis_ty/value,/jointset/ground_pelvis/pelvis_ty/speed,/jointset/hip_r/hip_flexion_r/value,/jointset/hip_r/hip_flexion_r/speed,/jointset/knee_r/knee_angle_r/value,/jointset/knee_r/knee_angle_r/speed,/jointset/ankle_r/ankle_angle_r/value,/jointset/ankle_r/ankle_angle_r/speed,/jointset/hip_l/hip_flexion_l/value,/jointset/hip_l/hip_flexion_l/speed,/jointset/knee_l/knee_angle_l/value,/jointset/knee_l/knee_angle_l/speed,/jointset/ankle_l/ankle_angle_l/value,/jointset/ankle_l/ankle_angle_l/speed,/jointset/back/lumbar_extension/value,/jointset/back/lumbar_extension/speed,/forceset/hamstrings_r/activation,/forceset/hamstrings_r/fiber_length,/forceset/bifemsh_r/activation,/forceset/bifemsh_r/fiber_length,/forceset/glut_max_r/activation,/forceset/glut_max_r/fiber_length,/forceset/iliopsoas_r/activation,/forceset/iliopsoas_r/fiber_length,/forceset/rect_fem_r/activation,/forceset/rect_fem_r/fiber_length,/forceset/vasti_r/activation,/forceset/vasti_r/fiber_length,/forceset/gastroc_r/activation,/forceset/gastroc_r/fiber_length,/forceset/soleus_r/activation,/forceset/soleus_r/fiber_length,/forceset/tib_ant_r/activation,/forceset/tib_ant_r/fiber_length,/forceset/hamstrings_l/activation,/forceset/hamstrings_l/fiber_length,/forceset/bifemsh_l/activation,/forceset/bifemsh_l/fiber_length,/forceset/glut_max_l/activation,/forceset/glut_max_l/fiber_length,/forceset/iliopsoas_l/activation,/forceset/iliopsoas_l/fiber_length,/forceset/rect_fem_l/activation,/forceset/rect_fem_l/fiber_length,/forceset/vasti_l/activation,/forceset/vasti_l/fiber_length,/forceset/gastroc_l/activation,/forceset/gastroc_l/fiber_length,/forceset/soleus_l/activation,/forceset/soleus_l/fiber_length,/forceset/tib_ant_l/activation,/forceset/tib_ant_l/fiber_length
0.63359913,0.138252187,0.267925845,0,0,0,0,0.243810141,0.645775009,-0.000656129,-3.388160473,-0.018697562,-0.156314133,-0.501485597,-0.866416753,0.008172231,-1.469280265,0.15437653,0.842269603,-0.42440843,-0.207295086,0.43555383,0.11534964,0.13668489,0.18857054,0.02,0.15660318,0.16468221,0.09472456,0.05577095,0.10137542,0.02,0.07674005,0.22617012,0.08883166,0.02,0.04528108,0.22190832,0.07815041,0.20446148,0.0799195,0.33448544,0.18750784,0.02,0.11444399,0.66281588,0.11957514,0.02,0.13037876,0.02,0.07641241,0.57306126,0.09140393,0.24927892,0.04919214,0.32383968,0.0704223
0.63437201,0.138456071,0.259850515,0,0,0,0,0.244314385,0.658755455,-0.003288343,-3.422942431,-0.01880873,-0.132300201,-0.502147163,-0.84586653,0.007025602,-1.497325309,0.155054358,0.905367898,-0.424564565,-0.196931022,0.47132591,0.11520747,0.14336602,0.18848731,0.02,0.15663069,0.16261317,0.0947174,0.05537002,0.10148478,0.02,0.07686791,0.23542379,0.08878953,0.02,0.04527502,0.22007545,0.07816668,0.20611222,0.07990478,0.32848396,0.18751671,0.02,0.11440942,0.67724322,0.11958452,0.02,0.13044661,0.02,0.07646679,0.59636042,0.09139564,0.25591646,0.04919835,0.31813206,0.07039509
0.63634355,0.138953252,0.246619634,0,0,0,0,0.24563728,0.679915721,-0.010116025,-3.500390336,-0.019037199,-0.111453834,-0.503771789,-0.80551329,0.00401626,-1.550910492,0.156848289,0.862024062,-0.424932303,-0.178409271,0.54758404,0.1147931,0.15718636,0.18828341,0.02,0.15670325,0.15750487,0.09470097,0.0543693,0.10177212,0.02,0.07720116,0.25507768,0.08865645,0.02,0.04526025,0.2155568,0.07821122,0.2096574,0.07985524,0.31391326,0.18753401,0.02,0.11432486,0.71012524,0.11959621,0.02,0.13062309,0.02,0.07661035,0.64819864,0.09135552,0.27019463,0.04920855,0.30426033,0.07033496
0.63763797,0.139271215,0.245780136,0,0,0,0,0.24651967,0.68179464,-0.014674307,-3.541269502,-0.019198326,-0.144538025,-0.504803843,-0.790670286,0.001994291,-1.571496395,0.157846877,0.658740569,-0.425160142,-0.174858673,0.58886553,0.11449748,0.1642823,0.1881568,0.02,0.1567521,0.15427804,0.09469115,0.05372907,0.1019657,0.02,0.07742362,0.26550929,0.08855279,0.02,0.04525113,0.21270752,0.07824243,0.21154966,0.07981486,0.30488563,0.1875415,0.02,0.11427161,0.7290812,0.11959676,0.02,0.13074132,0.02,0.07670763,0.67738642,0.09131732,0.27786739,0.04921231,0.29565546,0.07030219
0.63875611,0.139548128,0.250287432,0,0,0,0,0.247279202,0.675651501,-0.018650736,-3.570438045,-0.019392125,-0.207156036,-0.505684102,-0.784774562,0.000230621,-1.582351463,0.158439409,0.38957978,-0.42535673,-0.177628809,0.62027035,0.11423482,0.16943098,0.18805157,0.02,0.15679448,0.15156801,0.09468306,0.05318645,0.10213537,0.02,0.0776174,0.27326623,0.08845493,0.02,0.04524333,0.21031781,0.0782706,0.21295527,0.07977584,0.29740675,0.18754577,0.02,0.11422655,0.7440194,0.11959386,0.02,0.1308447,0.02,0.07679298,0.70007531,0.09127799,0.28361287,0.04921408,0.28852084,0.0702784
0.63940897,0.139712967,0.254909003,0,0,0,0,0.247718301,0.669186318,-0.020986685,-3.585373561,-0.019543108,-0.256833633,-0.506196035,-0.783746723,-0.00080395,-1.586852858,0.158634865,0.207141263,-0.425473874,-0.181484916,0.63706664,0.11407986,0.17208139,0.18799168,0.02,0.1568191,0.15001781,0.09467847,0.05287402,0.10223537,0.02,0.07773108,0.27733302,0.08839471,0.02,0.04523864,0.20895223,0.07828764,0.21369007,0.0797515,0.29317016,0.18754741,0.02,0.11420048,0.75218627,0.119591,0.02,0.13090551,0.02,0.07684337,0.7123728,0.09125252,0.2866382,0.04921447,0.28447686,0.07026667
0.64,0.139865121,0.260116601,0,0,0,0,0.248111714,0.661900067,-0.023109491,-3.59794888,-0.019709964,-0.308808814,-0.506659229,-0.783790489,-0.001742985,-1.590840869,0.158706628,0.035229931,-0.425582465,-0.186148135,0.65140343,0.11393913,0.17428105,0.18793834,0.02,0.15684125,0.14863437,0.09467439,0.05259393,0.10232646,0.02,0.07783427,0.28075173,0.08833842,0.02,0.0452342,0.20773443,0.07830349,0.21430592,0.07972856,0.28941451,0.18754838,0.02,0.11417697,0.75925263,0.11958779,0.02,0.13096081,0.02,0.07688939,0.72295597,0.09122793,0.2891882,0.04921438,0.2808905,0.07025757
0.64001062,0.139867884,0.260217933,0,0,0,0,0.248118743,0.661758554,-0.023147703,-3.598168412,-0.019713249,-0.309796641,-0.506667553,-0.783797182,-0.001759881,-1.590916605,0.158706986,0.032125288,-0.425584443,-0.186240926,0.65123888,0.1139366,0.17426138,0.18793739,0.02,0.15684164,0.14860968,0.09467432,0.05267613,0.1023281,0.02000858,0.07783613,0.28070847,0.0883374,0.02,0.04523412,0.20779882,0.07830378,0.21428404,0.07972814,0.28942168,0.1875484,0.02,0.11417654,0.75910551,0.11958772,0.02,0.1309618,0.02,0.07689022,0.72274054,0.09122748,0.28913997,0.04921437,0.28096822,0.07025742
0.64002124,0.139870648,0.260319621,0,0,0,0,0.24812577,0.661616573,-0.023185917,-3.598387709,-0.019716544,-0.310786243,-0.506675877,-0.783804161,-0.001776777,-1.590992534,0.15870731,0.029020798,-0.425586421,-0.186334125,0.65099145,0.11393408,0.1742302,0.18793644,0.02,0.15684204,0.148585,0.09467424,0.05277558,0.10232973,0.02001885,0.07783798,0.28064473,0.08833637,0.02,0.04523403,0.20788033,0.07830407,0.21425566,0.07972772,0.28944362,0.18754841,0.02,0.11417612,0.75890424,0.11958766,0.02,0.1309628,0.02,0.07689105,0.72244508,0.09122702,0.28907326,0.04921437,0.2810741,0.07025727
0.64007434,0.139884485,0.260833258,0,0,0,0,0.248160883,0.660899776,-0.023377023,-3.59948068,-0.019733179,-0.315760168,-0.506717499,-0.783843178,-0.00186127,-1.591375309,0.158708439,0.01350284,-0.425596328,-0.186806112,0.64975665,0.11392149,0.17407443,0.18793172,0.02,0.15684402,0.14846168,0.09467388,0.05326974,0.10233768,0.02006989,0.07784725,0.28032635,0.08833125,0.02,0.04523362,0.20828607,0.07830548,0.21411388,0.07972563,0.28955294,0.18754845,0.02,0.11417401,0.75789973,0.11958736,0.02,0.13096778,0.02,0.0768952,0.72097088,0.09122476,0.28874007,0.04921434,0.28160144,0.07025651
0.64033984,0.139954089,0.263518522,0,0,0,0,0.248335863,0.657158665,-0.024333411,-3.604858767,-0.019820372,-0.341200142,-0.506925645,-0.784121192,-0.002284047,-1.593391209,0.158701753,-0.063735262,-0.425646252,-0.189301336,0.64364171,0.11385961,0.17329861,0.18790869,0.02,0.15685389,0.14784732,0.09467207,0.05566492,0.10237337,0.02031747,0.07789332,0.27874269,0.08830584,0.02,0.04523153,0.21027112,0.07831208,0.21340784,0.07971521,0.29009001,0.18754817,0.02,0.11416347,0.75292342,0.11958615,0.02,0.13099269,0.02,0.07691597,0.71367652,0.09121377,0.28708296,0.04921432,0.28418655,0.07025249
0.64144723,0.140252656,0.275892238,0,0,0,0,0.24905418,0.639880096,-0.028337254,-3.626005566,-0.020259291,-0.45196624,-0.507794745,-0.785322251,-0.004054515,-1.605385117,0.158461082,-0.361938085,-0.42586229,-0.201101793,0.6191543,0.11362004,0.17011702,0.18782095,0.02,0.15689453,0.14532463,0.09466469,0.06443832,0.10247271,0.02122492,0.07808297,0.27228297,0.08820292,0.02,0.04522199,0.21782351,0.07833285,0.21051358,0.07967256,0.29216845,0.18753977,0.02,0.11411954,0.73296746,0.11958593,0.02,0.13109702,0.02,0.07700307,0.68456859,0.09117279,0.28032645,0.04921559,0.2941066,0.07023268
0.64255462,0.140564987,0.287921283,0,0,0,0,0.249753164,0.622865194,-0.032363885,-3.646326038,-0.020819053,-0.556629571,-0.508663669,-0.783094561,-0.005843339,-1.627398763,0.157930476,-0.578672154,-0.426091546,-0.212669285,0.59619546,0.1134079,0.16702063,0.1877423,0.02,0.15693417,0.14286442,0.09465756,0.07158015,0.10253297,0.02196007,0.07827167,0.26604934,0.08810427,0.02,0.04521075,0.22434498,0.07834624,0.20769878,0.07963108,0.29400971,0.18752237,0.02,0.11407564,0.71421924,0.11959325,0.02,0.131202,0.02,0.07709085,0.65742569,0.09113891,0.27381079,0.04921872,0.30279527,0.07020969
0.64388206,0.140954894,0.298633209,0,0,0,0,0.250568909,0.607417858,-0.037221106,-3.672431556,-0.021626323,-0.652527106,-0.509696488,-0.770973446,-0.008031206,-1.672767323,0.157078705,-0.669884638,-0.426381101,-0.222626627,0.57049803,0.11318539,0.16341693,0.1876547,0.02,0.15698037,0.13999482,0.09464934,0.07847054,0.10258829,0.02266049,0.07849889,0.25885953,0.08799051,0.02,0.04519442,0.23102656,0.07835632,0.20442537,0.07958264,0.29594371,0.18749332,0.02,0.11402324,0.69319654,0.11961185,0.02,0.13132884,0.02,0.07719737,0.62721362,0.09110652,0.26630098,0.04922436,0.31183885,0.07018032
0.6453027,0.141383194,0.30299338,0,0,0,0,0.251425766,0.600753823,-0.042461236,-3.705824703,-0.022593214,-0.697461451,-0.510773894,-0.743167059,-0.010457475,-1.747414118,0.156202004,-0.521403504,-0.426700523,-0.225599597,0.5449804,0.11298039,0.1596853,0.18756487,0.02,0.15702859,0.13701618,0.09464093,0.08428486,0.10264398,0.02323918,0.0787441,0.25148728,0.08787303,0.02,0.04517311,0.23703872,0.0783628,0.20103888,0.07953197,0.29772803,0.18745533,0.02,0.11396809,0.67228774,0.11964407,0.02,0.13146632,0.02,0.0773141,0.59738756,0.09108087,0.25860651,0.04923237,0.32012513,0.07014844
0.64672334,0.141811979,0.299421445,0,0,0,0,0.252281167,0.605220552,-0.047753782,-3.746206505,-0.023574919,-0.673359003,-0.511800873,-0.700412395,-0.013007611,-1.846070925,0.155710595,-0.136517787,-0.427017923,-0.219879749,0.52130165,0.11280445,0.15607736,0.18747635,0.02,0.15707626,0.1341293,0.09463278,0.08886155,0.10270526,0.02368225,0.07899169,0.24442879,0.08775903,0.02,0.04514805,0.24208168,0.0783668,0.19776788,0.07948212,0.29925964,0.18741223,0.02,0.11391487,0.65286312,0.11969024,0.02,0.1316064,0.02,0.07743526,0.5698652,0.09106414,0.25124512,0.04924282,0.32720923,0.07011641
0.64773482,0.142111772,0.292913699,0,0,0,0,0.252897428,0.613931491,-0.051559142,-3.778539036,-0.024230526,-0.618356761,-0.512490852,-0.663174921,-0.014914839,-1.925977399,0.155756587,0.237041487,-0.427236297,-0.211411669,0.50545875,0.11269437,0.15358093,0.18741315,0.02,0.15711032,0.13212777,0.09462702,0.09152444,0.10275567,0.02393301,0.07916953,0.23958426,0.0876797,0.02,0.04512837,0.24517621,0.07836879,0.19550656,0.07944692,0.30021661,0.18737905,0.02,0.11387873,0.63985818,0.11973237,0.02,0.13170823,0.02,0.07752515,0.55153297,0.09105777,0.24619584,0.0492524,0.33162924,0.07009294
