#{"t_start": 1628582272.0042365, "env_id": 0}
r,l,t
2.074964,70,48005.89959
-3.997588,70,48021.326467
-0.303125,70,48032.701002
3.71536,70,48047.495915
-7.349115,70,48057.525496
3.746983,70,48073.688726
4.426298,70,48084.672503
-3.489687,64,48099.23389
-2.30939,70,48110.607396
3.001854,70,48125.962628
2.80984,70,48136.743319
4.531034,70,48151.450244
3.703204,70,48167.214895
4.284349,70,48178.120571
4.243368,70,48193.501465
-0.403773,70,48204.719728
4.270052,70,48220.225909
-4.300308,63,48230.24507
-4.932004,68,48245.161567
2.989793,70,48257.097632
2.506719,70,48272.63987
-2.37566,70,48284.264408
0.446661,70,48300.34759
-2.307722,70,48315.618134
-7.184075,69,48325.711195
-4.359703,65,48340.577582
1.666291,70,48350.655115
4.205856,70,48366.625571
4.315357,70,48378.666764
-1.339272,70,48394.311524
1.620607,70,48405.966334
4.35751,70,48421.565089
3.598668,70,48432.830156
4.47421,70,48447.14758
4.560139,70,48458.240756
2.354329,70,48473.994829
3.149053,70,48490.081175
4.417117,70,48502.123479
0.053192,70,48517.966187
-5.326291,70,48529.445645
4.088885,70,48545.144528
2.970969,70,48556.171065
0.710752,70,48572.264355
1.028334,70,48582.877684
2.324243,70,48598.634625
4.28082,70,48608.727677
1.929965,70,48624.07538
0.928598,70,48639.622249
4.175995,70,48650.948899
1.138786,70,48666.47158
2.823685,70,48677.454432
-4.640568,70,48693.193799
3.349173,70,48704.575223
-1.976896,70,48719.731347
3.376997,70,48731.277797
-2.499949,70,48746.470209
2.680537,70,48761.429343
-4.293855,70,48772.924415
-2.490397,70,48788.690804
1.922705,70,48800.174669
4.822759,70,48816.455808
4.436013,70,48828.111513
1.81819,70,48843.210314
-2.279508,70,48854.912884
3.752103,70,48870.121927
3.98177,70,48881.746381
-0.840678,70,48898.158661
4.517806,70,48912.80408
1.330199,70,48925.334987
4.333448,70,48940.090848
3.458591,70,48952.323781
3.688721,70,48966.978906
3.81794,70,48977.969589
-4.450867,69,48992.866072
2.785092,70,49004.428106
1.289234,70,49019.495744
2.620957,70,49030.868255
3.06888,70,49045.702283
2.680888,70,49061.11345
4.318722,70,49072.253729
2.415497,70,49087.252715
4.339232,70,49097.665485
4.75508,70,49113.306073
4.737881,70,49123.991969
-1.174464,70,49139.637725
2.214144,70,49149.480693
-1.27998,70,49164.89292
3.853382,70,49176.235162
4.155562,70,49192.505728
2.941583,70,49208.395329
1.936978,70,49220.082326
4.165673,70,49236.02579
4.118623,70,49247.789928
-6.042446,68,49263.101298
-4.501442,68,49274.053861
2.300652,70,49289.457996
-0.461164,70,49300.113578
-3.578154,70,49315.765168
1.940222,70,49326.499004
-3.726933,65,49341.680049
1.578431,70,49353.049157
3.787834,70,49367.678083
-0.319567,70,49382.76311
-1.233373,70,49394.208668
-6.409685,70,49408.488714
1.687747,70,49418.769367
-1.428251,70,49433.510558
4.532284,70,49444.556782
4.004045,70,49460.546971
1.872368,70,49470.73786
1.509526,70,49485.282603
-4.445227,67,49495.421591
-0.232793,69,49510.13925
-3.589644,70,49525.646098
-2.682815,70,49536.56746
2.743192,70,49552.496208
2.659628,70,49563.855084
-2.09311,70,49578.455673
-1.394398,70,49588.611169
1.402359,70,49604.304629
-0.09249,70,49614.366454
-0.934732,70,49628.964064
2.14409,70,49640.197905
-5.729091,70,49655.165419
4.442071,70,49670.842206
-5.759096,70,49681.794763
-0.775017,70,49697.728633
4.351688,70,49709.0874
1.970438,70,49724.1736
1.60852,70,49734.521184
0.452504,70,49748.730935
4.7286,70,49759.120916
2.011879,70,49774.359079
4.714431,70,49789.784946
4.235091,70,49800.378047
1.948854,70,49815.460199
1.489719,70,49827.365896
2.028278,70,49843.761564
-5.931722,70,49853.618161
3.422083,70,49867.960739
3.927996,70,49877.865268
3.382836,70,49893.806727
1.654168,70,49904.764875
1.679208,70,49919.459121
1.837537,70,49934.547291
2.125234,70,49944.790548
4.372573,70,49959.68995
3.515607,70,49970.126835
-2.693756,70,49985.392226
1.411414,70,49995.969706
-8.664127,69,50010.530948
1.348325,70,50021.795048
3.935912,70,50037.067564
0.893138,70,50048.676432
1.211525,70,50062.982307
-5.109264,70,50077.993443
1.514084,70,50088.805313
3.016389,70,50105.280962
3.758856,70,50115.905402
2.915549,70,50130.910266
1.783804,70,50142.128346
1.676113,70,50156.682055
0.069053,70,50167.252504
2.592928,70,50182.56023
2.620266,70,50193.464951
0.131582,70,50208.487428
0.726021,70,50223.428785
4.191026,70,50233.608608
-0.211435,70,50248.051068
4.162241,70,50258.831743
2.349525,70,50273.548292
2.68482,70,50285.1249
-4.214467,70,50299.668104
-7.358699,70,50311.151895
-6.687123,66,50325.828646
4.27086,70,50336.640495
4.160217,70,50351.977221
4.708995,70,50367.549842
3.009709,70,50378.137775
1.785344,70,50393.915977
-0.589762,70,50405.301583
-3.519932,63,50419.279328
1.745591,70,50429.99755
4.51511,70,50444.301189
1.415353,70,50455.331828
-2.896798,70,50471.171868
1.284078,70,50481.858761
-1.167253,70,50497.733675
2.850001,70,50509.279999
0.08321,70,50525.177523
2.374584,70,50540.080571
-4.932178,67,50550.579848
0.826522,70,50566.118075
0.653981,70,50577.456222
4.702602,70,50593.273568
2.984296,70,50604.592484
1.359879,70,50620.637316
-4.033685,66,50630.949219
-1.02826,70,50645.892436
3.139109,70,50657.496887
1.129904,70,50674.398782
3.132143,70,50689.834775
2.432158,70,50701.849785
1.845797,70,50719.416316
-1.327192,70,50730.353256
-5.519083,70,50745.515288
4.348799,70,50757.318776
-6.411998,69,50772.667399
-6.178725,69,50783.0147
1.240327,70,50798.13443
2.450224,70,50808.743154
-5.075794,64,50822.998879
0.349665,70,50835.410673
4.035794,70,50850.815784
4.441332,70,50866.259194
-0.678885,70,50878.247914
-0.889425,70,50893.679966
3.72374,70,50905.236562
-3.122447,70,50920.055086
-3.602481,70,50931.6638
3.80868,70,50947.264689
2.394759,70,50958.592289
-0.185427,70,50974.601291
3.164682,70,50989.65311
4.25979,70,51000.730531
-4.602507,63,51015.150238
2.598681,70,51025.976795
-1.222645,70,51041.293123
3.354383,70,51052.11953
-0.924253,70,51067.171346
3.635503,70,51078.607264
2.771167,70,51093.504705
4.458918,70,51105.524006
-1.946722,70,51120.394517
3.692909,70,51131.815791
4.964786,70,51147.950106
-0.385309,70,51163.049789
-4.296832,70,51173.782425
1.629874,70,51189.375027
4.317844,70,51200.060997
0.011249,70,51215.076445
3.315616,70,51226.013334
0.573928,70,51240.466321
0.853613,70,51251.315427
-3.481887,70,51266.758728
0.130373,70,51278.29638
1.542144,70,51294.243978
2.443659,70,51309.137147
3.797343,70,51320.792895
0.009715,70,51336.344571
1.952933,70,51346.790051
2.798673,70,51362.466775
2.198361,70,51373.825531
0.547036,70,51389.45728
-0.488556,70,51400.550353
-0.54205,70,51416.352226
0.420962,70,51432.311195
0.100551,70,51443.717059
-1.739685,70,51459.363477
4.588344,70,51470.175296
-3.880293,70,51485.884286
2.800582,70,51496.751591
-0.516994,70,51512.240736
4.679747,70,51523.450132
-3.423785,70,51539.693489
-0.432644,70,51551.411682
4.404403,70,51566.531174
2.193412,70,51581.745561
2.758059,70,51592.243836
2.173515,70,51607.92162
2.683969,70,51619.443681
2.861403,70,51634.146509
-4.087582,70,51646.192798
2.524259,70,51661.478806
1.564195,70,51673.0865
0.676391,70,51688.718165
