#{"t_start": 1628791282.062753, "env_id": 0}
r,l,t
0.42263,70,49518.837582
-17.759248,70,49534.955224
0.6942,70,49547.087237
-12.13699,70,49564.554166
-0.569726,70,49575.982002
-0.93464,70,49592.527702
-1.310278,70,49604.832958
-0.060253,70,49620.245005
-0.266841,70,49632.540297
-9.136475,70,49648.737757
-9.428039,70,49665.470863
-1.690111,70,49676.895381
-1.240173,70,49692.858987
-12.319625,70,49704.417982
-12.210595,70,49719.887488
0.00488,70,49732.318928
-13.105749,70,49748.780822
0.730695,70,49760.868667
-0.437464,70,49777.281675
-0.495676,70,49790.803025
-11.065508,70,49808.515413
-1.441859,70,49823.616886
-1.71426,70,49836.248109
-0.676661,70,49853.808308
-9.757521,70,49865.901173
-3.285177,70,49881.680482
-1.063166,70,49893.17128
-6.137625,70,49909.078477
-0.02301,70,49921.270013
-15.334244,70,49936.994743
-1.00228,70,49950.947441
-1.029045,70,49966.77434
0.448219,70,49983.522074
-3.100293,70,49996.06639
-12.453322,70,50012.720244
-1.88582,70,50024.816525
-1.879589,70,50040.244738
-4.202751,70,50051.85138
-0.720823,70,50068.188515
-0.832675,70,50081.082674
-0.976285,70,50097.635901
-0.877987,70,50109.215029
-2.983885,70,50124.860395
-0.793919,70,50142.604359
-1.013978,70,50154.074312
-4.790383,70,50169.337293
-0.244375,70,50181.609228
-0.503255,70,50198.792611
-14.721872,70,50211.06167
0.009795,70,50226.868793
0.420535,70,50238.770455
0.944321,70,50254.898378
-4.939213,70,50267.155248
-5.257122,70,50282.596433
-13.98159,70,50298.998478
-1.412174,70,50311.343609
0.273646,70,50327.189856
-3.155758,70,50339.197689
-2.100736,70,50355.314827
-0.047856,70,50367.170674
-0.46662,70,50383.629717
-13.261884,70,50395.265622
-5.588835,70,50412.017079
-16.424983,70,50423.627368
-0.414639,70,50439.321483
-6.044261,70,50456.214543
-0.277699,70,50467.821731
-12.200865,70,50485.399191
-8.724934,70,50496.142885
-12.238779,70,50511.761416
-7.368193,70,50524.096372
-5.883221,70,50540.243453
-18.237035,70,50552.999432
-0.913388,70,50570.020909
-0.52384,70,50585.319011
-9.672896,70,50596.637192
-16.393477,70,50612.859549
-3.832189,70,50623.891908
-2.727086,70,50640.259005
0.482739,70,50651.92504
-14.20131,70,50668.658059
-1.960371,70,50679.604558
-5.029152,70,50696.382012
-0.18844,70,50707.765597
-12.18297,70,50722.848065
-4.270936,70,50738.272672
-11.125848,70,50751.369587
-1.512902,70,50766.730932
-4.303376,70,50778.450024
-3.782924,70,50794.754334
-4.076535,70,50807.798023
-6.0228,70,50823.162245
-1.798159,70,50835.240431
-3.295302,70,50851.131572
-6.815093,70,50862.258922
-17.244506,70,50879.022636
-7.204049,70,50893.913622
-13.4258,70,50905.910214
-1.638883,70,50922.085577
-9.522246,70,50934.09321
-3.359346,70,50950.722637
-11.593125,70,50962.487119
0.362511,70,50978.641368
-5.37462,70,50991.306598
-12.461173,70,51006.583704
-14.765053,70,51019.660418
-11.932159,70,51034.70712
-11.523499,70,51050.630499
-1.773288,70,51063.017594
0.080066,70,51079.078061
-3.268145,70,51091.150457
-7.552213,70,51106.70971
-0.022954,70,51118.979153
-5.282798,70,51137.223941
-13.987963,70,51149.363935
0.048536,70,51166.802685
0.553846,70,51178.274131
-6.703642,70,51194.279634
-13.569894,70,51210.508973
-0.849881,70,51223.207137
-0.488866,70,51242.271151
-3.275775,70,51257.149631
0.061752,70,51274.114138
-6.175351,70,51284.589571
-5.087287,70,51300.229642
-0.015723,70,51312.010991
-5.637319,70,51327.816914
-0.447627,70,51339.080583
-1.331644,70,51355.119073
-2.441198,70,51370.613148
-10.054921,70,51381.193643
-8.862857,70,51396.733931
-4.243407,70,51409.331556
-3.96162,70,51425.521667
-0.443957,70,51437.30604
-5.699964,70,51453.759485
-11.58818,70,51464.749779
-2.471687,70,51479.963952
-4.37631,70,51495.464622
0.064777,70,51507.257255
-4.916806,70,51523.206363
-2.838623,70,51535.514823
-0.952856,70,51552.345157
-2.94011,70,51563.169268
-11.167207,70,51579.467561
-4.069261,70,51591.592772
0.690576,70,51607.872726
-2.270612,70,51619.873463
-7.802315,70,51636.49999
-5.320624,70,51652.952541
-10.139351,70,51666.209078
-17.362512,70,51681.989833
-9.915794,70,51693.993886
-4.65285,70,51710.262136
-12.141739,70,51722.093415
0.878036,70,51738.399708
-0.091087,70,51749.420698
-5.969957,70,51764.889238
0.900412,70,51777.265365
-10.621087,70,51793.168476
0.59949,70,51809.578358
0.55747,70,51821.168748
0.253419,70,51838.381831
-3.783616,70,51850.690346
-3.007903,70,51866.895786
-2.180018,70,51878.936516
-2.266687,70,51895.666964
0.144567,70,51908.042039
-3.425212,70,51923.630251
-8.765763,70,51935.068573
-5.463604,70,51951.219623
-4.432865,70,51967.326554
-5.861798,70,51980.115205
-8.052983,70,51997.48837
-1.449278,70,52009.738238
-4.074539,70,52026.61144
-3.965099,70,52038.403985
-4.858569,70,52054.510229
-3.333956,70,52066.505943
-5.126489,70,52082.757475
-8.405417,70,52095.203973
-10.17991,70,52110.672749
0.097263,70,52127.52553
-6.28535,70,52139.421518
-22.30625,70,52156.933171
-14.906629,70,52169.297637
-1.167212,70,52186.038814
-0.296303,70,52198.815729
-1.277184,70,52214.718959
0.815529,70,52227.787579
-12.000402,70,52244.336296
-3.191779,70,52256.509048
-3.917252,70,52273.114328
-17.893326,70,52290.154958
-0.48214,70,52302.124981
-0.421169,70,52318.194476
-1.465916,70,52330.361611
-3.676769,70,52346.970098
-2.1886,70,52358.659339
0.528845,70,52375.625252
-3.155029,70,52387.007238
-1.64376,70,52403.709508
-13.927644,70,52421.035946
-3.332606,70,52433.001969
-0.902188,70,52449.033222
