#{"t_start": 1628658777.380212, "env_id": 0}
r,l,t
0.169486,70,46465.447196
-22.003965,63,46479.156598
-3.77532,70,46490.419605
-21.506805,70,46505.477466
-22.888594,69,46516.060687
-6.612765,70,46531.133889
-24.808678,68,46540.328829
-9.427443,70,46554.5196
-17.989274,70,46565.016581
0.256103,70,46580.293701
-2.624003,70,46590.959218
-3.203316,70,46606.03821
-18.10546,70,46621.327722
-16.539853,70,46632.530371
-11.522574,70,46646.643302
-21.05659,62,46656.01773
-17.748559,57,46669.276104
-7.000055,70,46678.996545
-2.170351,70,46694.464801
-5.760846,70,46705.467279
-16.32178,70,46721.453438
-0.445618,70,46732.026372
-12.878404,70,46746.625953
-3.712358,70,46756.389333
-21.431452,68,46770.682639
-21.767376,65,46781.230638
-4.618284,70,46796.606642
-13.545256,70,46810.895042
-8.041047,70,46821.842239
-3.48734,70,46835.631048
-0.284512,70,46845.724103
-1.594966,70,46859.978775
-1.112653,70,46871.365551
-17.4205,58,46884.279493
-3.550577,70,46895.075775
-1.148826,70,46910.292786
-6.790635,70,46920.491121
-21.376567,70,46935.76987
-3.912981,70,46945.911913
-22.393566,62,46959.479295
1.333611,70,46970.187473
-15.06151,70,46985.449662
-7.350687,70,47000.3654
-18.970964,59,47009.336051
-11.897522,70,47023.790336
-21.426142,63,47033.190938
-1.261602,70,47047.920186
-14.734585,70,47058.048965
-1.34669,70,47073.747219
-6.02732,70,47084.328181
0.036923,70,47099.631785
0.370268,70,47110.152327
-17.919313,70,47125.05375
-12.638621,70,47135.102908
-19.298343,70,47150.109247
-19.054195,69,47163.549153
-1.269438,70,47173.944307
-3.060028,70,47188.698103
-2.546105,70,47199.115392
0.605822,70,47214.365201
-20.202981,69,47224.964155
-4.448166,70,47240.114536
-15.415605,70,47251.262759
-3.620714,70,47267.255118
-11.870423,70,47277.828972
-2.539949,70,47292.278811
-16.428806,70,47306.921886
-3.890322,70,47316.62597
-6.787885,70,47331.901223
-2.475731,70,47342.385991
0.507088,70,47356.8489
-15.813956,58,47366.316389
1.561769,70,47381.079427
-2.808401,70,47391.22705
-20.126214,70,47406.350043
-16.265499,54,47414.409158
-2.958166,70,47428.799796
-1.996746,70,47438.897316
-7.940544,70,47453.227701
-0.496984,70,47464.583378
-24.032506,70,47480.08742
-21.696759,70,47494.302029
-18.472235,59,47502.924298
-2.523033,70,47518.3846
-20.550439,64,47527.804875
-0.10469,70,47542.532998
-11.751995,70,47553.358383
-16.032477,58,47567.287281
-1.681224,70,47578.180744
-1.815542,70,47593.565023
-16.999564,60,47602.882286
0.166223,70,47617.198766
-19.466452,70,47627.233736
-3.06631,70,47642.169416
-1.786874,70,47652.95483
-1.61093,70,47667.679142
-2.995129,70,47678.42163
-10.149362,70,47694.089185
-17.937596,64,47703.737026
-11.630445,70,47718.315879
-19.065188,70,47734.223294
-6.620069,70,47744.682582
-16.284535,56,47758.882038
-4.693238,70,47769.696523
-7.002475,70,47786.230876
-4.512634,70,47796.707253
-0.348542,70,47811.565268
-3.340064,70,47822.0139
-0.549347,70,47837.021266
-5.048855,70,47847.872899
-16.31322,70,47862.244625
-11.913279,70,47872.539657
-4.034494,70,47887.658127
-7.213535,70,47901.799874
1.479842,70,47913.618826
-14.765218,70,47929.557285
-14.384017,70,47940.346732
-9.57051,70,47955.174053
1.049126,70,47967.020846
-5.542749,70,47982.966337
-0.880271,70,47994.69505
-9.450388,70,48010.06335
-10.435923,70,48020.597965
-17.937334,70,48036.12621
-10.410743,69,48050.244344
-1.776994,70,48060.246228
-18.06186,57,48072.498881
