#{"t_start": 1629141151.5150807, "env_id": 0}
r,l,t
-2.113541,120,70398.759005
-0.114182,120,70423.668941
-6.184056,91,70443.185796
-4.582461,99,70464.501682
6.745854,120,70489.961809
8.533404,120,70515.575352
-4.230841,90,70530.411925
-7.562734,109,70554.12617
7.641509,120,70579.50202
-3.625249,106,70601.427384
4.689851,120,70626.818226
-4.756204,94,70647.428288
7.452053,120,70673.45098
-5.598696,99,70690.092088
-5.204108,96,70710.561805
3.110557,120,70736.590918
4.521351,120,70761.110947
5.157937,120,70787.394876
5.45987,120,70811.382905
4.112593,120,70837.389396
4.349442,120,70863.722198
-3.715022,97,70884.882534
-3.487606,91,70901.933268
-14.517155,120,70928.897975
-3.93935,97,70951.854647
4.839498,120,70977.146812
4.118819,120,71003.739677
-6.323105,100,71025.724495
-1.031338,120,71052.04002
4.278199,120,71078.173423
2.962,120,71099.092877
-0.947534,120,71125.578843
-6.36786,105,71150.266825
-5.767616,102,71173.004419
3.457962,120,71200.217791
3.176482,120,71228.03412
-3.978673,120,71254.303929
-2.50115,106,71278.654138
-2.623675,94,71297.020107
5.221261,120,71325.749181
0.675048,120,71352.364967
-3.125328,107,71375.484051
6.113534,120,71404.112999
2.047889,120,71433.108739
3.79848,120,71460.861678
-3.936833,120,71492.288732
-11.913593,120,71523.5047
-5.036112,92,71543.009093
0.253378,120,71571.31164
-5.209157,80,71590.932164
0.722024,120,71620.535988
-6.090517,92,71644.464836
5.367064,120,71672.900214
4.964105,120,71700.097367
4.419237,120,71727.999259
2.922192,120,71748.854266
-3.151533,105,71771.347747
-6.501084,117,71798.458078
2.766695,120,71826.854861
5.935939,120,71854.980165
3.975781,120,71881.627067
6.73849,120,71909.672396
1.920766,120,71939.225832
-1.157258,120,71968.395434
6.917208,120,71996.423808
-4.22795,115,72021.88507
4.878168,120,72049.757431
2.13413,120,72079.365042
6.338916,120,72103.113654
-3.612777,120,72131.538358
-4.597974,115,72157.471348
5.419237,120,72184.56697
-5.066053,108,72208.773743
2.893487,120,72235.350333
-5.275719,74,72254.536029
-3.068832,120,72280.621935
6.547391,120,72302.48625
-6.858613,81,72320.46602
3.518726,120,72347.823985
-2.740496,107,72370.787301
-6.137707,105,72394.189
-6.7883,84,72410.211784
6.061618,120,72435.908928
4.846359,120,72464.400571
6.773401,120,72490.953617
-3.10382,120,72517.175745
1.192377,120,72541.864877
-8.548139,93,72562.03949
-3.29102,113,72586.921734
4.269179,120,72612.29823
-4.649585,103,72629.899786
-7.101257,86,72649.076464
-5.369587,93,72670.43047
3.859477,120,72696.268409
-6.997077,67,72707.993083
-4.077351,81,72726.645115
1.653691,120,72750.945313
1.279413,120,72776.3133
5.737514,120,72802.657054
-4.836379,88,72818.845364
2.583084,120,72847.387258
3.166848,120,72875.579082
2.949081,120,72899.997063
5.439813,120,72925.661233
5.464777,120,72953.053396
4.077769,120,72978.586468
2.715742,120,73005.036937
-2.878899,85,73022.946619
0.269944,120,73048.261247
3.921381,120,73069.998911
-8.681628,66,73085.87963
-9.74554,92,73107.499395
-7.767591,86,73123.280011
