#{"t_start": 1628582271.1917756, "env_id": 0}
r,l,t
-1.463536,70,48006.618291
3.514566,70,48022.123303
1.969309,70,48033.279065
4.604897,70,48048.308376
4.205373,70,48058.337957
4.506396,70,48074.485561
-4.481036,70,48085.453711
4.522174,70,48100.90581
3.285587,70,48112.435582
1.452272,70,48127.697056
-0.160231,70,48142.811324
3.617157,70,48153.403447
4.658553,70,48169.143815
2.228852,70,48179.86204
-4.765775,65,48194.423311
1.407688,70,48205.657201
4.177437,70,48221.179009
2.13907,70,48232.256591
-3.936014,70,48248.036731
-4.994551,69,48259.316481
0.734932,70,48274.952479
-4.176827,70,48286.358244
4.203521,70,48302.722703
1.925128,70,48317.734511
3.753583,70,48327.851913
4.292687,70,48343.475396
-3.427035,70,48353.463382
3.912574,70,48370.012142
-0.747144,70,48381.66694
-0.597268,70,48397.17106
0.730972,70,48409.310296
2.976031,70,48425.181644
-0.7788,70,48435.790432
-0.009636,70,48450.241516
2.271914,70,48465.887143
2.893553,70,48477.252077
0.436401,70,48494.155447
3.904023,70,48505.170534
3.300057,70,48521.332767
4.662171,70,48532.66045
0.957628,70,48548.307956
1.147736,70,48559.843179
-4.718629,70,48575.275984
1.218118,70,48591.057243
1.388129,70,48601.509784
-6.636031,66,48615.46756
2.649778,70,48626.38799
2.970688,70,48642.138
-0.706806,70,48653.24588
4.736348,70,48668.877947
4.531749,70,48679.767041
2.673055,70,48696.200897
4.648107,70,48707.169105
2.877217,70,48722.551039
1.734051,70,48733.706807
4.655218,70,48748.820081
4.875037,70,48764.077125
2.286872,70,48775.498461
4.257717,70,48791.597217
2.68123,70,48802.784178
2.95118,70,48819.205956
0.537371,70,48830.486622
-4.86188,70,48845.897957
2.089069,70,48857.241116
4.597289,70,48872.481415
-3.582297,65,48883.449552
1.14068,70,48899.908713
4.387375,70,48914.616637
2.620029,70,48927.100666
4.928636,70,48942.34095
3.419066,70,48954.386364
2.822943,70,48968.635201
-1.407606,70,48979.657136
-2.800063,70,48995.022412
3.620747,70,49006.3813
-0.834932,70,49021.464568
-0.656775,70,49032.665184
3.401052,70,49047.905501
-2.61725,70,49062.894753
2.115129,70,49074.050658
1.175498,70,49089.080897
-4.372424,70,49099.634306
3.053564,70,49115.149881
1.723261,70,49125.913912
0.620366,70,49141.352094
4.10247,70,49151.340132
-4.574598,67,49166.549208
-1.002721,70,49177.766438
-1.90649,70,49194.208899
3.976863,70,49209.801597
-2.256989,70,49221.566725
2.368742,70,49237.385178
4.54851,70,49249.133689
-0.564896,70,49264.648205
1.932803,70,49275.882047
3.957162,70,49291.39114
4.426409,70,49301.964416
4.51442,70,49317.655858
2.655883,70,49328.467826
4.672709,70,49344.269635
1.331963,70,49359.945457
-0.839514,70,49370.240709
4.06412,70,49385.231978
1.898193,70,49397.188797
3.031384,70,49410.980294
0.050589,70,49421.769535
2.804285,70,49436.104439
4.229276,70,49447.228796
0.877256,70,49463.083428
3.456282,70,49477.884133
1.26941,70,49488.320036
-3.883488,70,49502.929258
-1.085304,70,49513.224492
-0.315417,70,49529.10646
3.765829,70,49539.871552
4.542608,70,49555.831615
4.477058,70,49566.987293
-3.64394,70,49581.790988
3.457081,70,49591.903804
3.610512,70,49607.394193
3.055257,70,49622.13869
2.631474,70,49632.104872
2.574553,70,49647.596084
4.083863,70,49658.750781
1.116824,70,49674.056733
3.547013,70,49685.270714
3.831302,70,49701.197595
3.241478,70,49712.556361
-4.934143,68,49727.060152
-7.715394,70,49737.255702
2.904581,70,49751.809235
2.560659,70,49766.98595
-2.276125,70,49777.484257
4.437052,70,49792.972632
2.473237,70,49803.518855
0.796902,70,49818.67914
-3.606409,70,49830.654365
2.896262,70,49846.625994
-1.786047,70,49856.550385
-4.760654,69,49870.733454
2.996785,70,49880.756052
4.103091,70,49896.782651
-10.530817,70,49911.709892
1.68684,70,49922.443659
1.995377,70,49937.918246
4.583954,70,49947.62066
0.359985,70,49962.862007
2.876255,70,49972.892601
-4.112017,70,49988.137991
-5.856273,69,49998.719845
0.518576,70,50013.640496
0.096201,70,50024.779586
4.498516,70,50040.130234
-6.820381,68,50055.370468
2.796832,70,50065.83762
4.517168,70,50080.422447
-3.869448,65,50090.828005
1.15196,70,50107.249782
4.441093,70,50117.999229
-1.874609,70,50132.769698
4.031556,70,50143.909647
5.059543,70,50158.557117
-0.051458,70,50169.05641
2.942042,70,50184.372786
3.683084,70,50199.410019
3.736767,70,50210.331236
2.466936,70,50225.272593
4.56088,70,50235.448024
1.262506,70,50249.847996
-3.20894,70,50260.769306
3.440244,70,50275.53978
0.799608,70,50286.937456
1.35764,70,50301.527535
0.813543,70,50312.948824
4.132952,70,50328.453773
2.492245,70,50343.459731
1.505982,70,50354.633605
2.881362,70,50370.075956
-0.139038,70,50380.841036
2.699196,70,50396.469925
1.746973,70,50407.625537
4.501868,70,50422.411554
-1.006155,70,50433.301601
-1.395525,70,50448.120929
-0.684209,70,50458.822425
2.631738,70,50474.99584
3.376125,70,50489.589372
0.054121,70,50501.41703
2.458796,70,50517.553312
-11.255516,70,50528.662106
4.681708,70,50543.846429
2.531792,70,50554.423838
