#{"t_start": 1628700901.5283277, "env_id": 0}
r,l,t
0.461571,70,51298.079002
-8.815349,70,51311.410001
-17.412739,70,51321.339502
2.371365,70,51336.091501
-1.466358,70,51345.510003
-15.151178,70,51359.965502
1.891355,70,51370.090501
1.284731,70,51383.774
-3.568278,70,51394.172503
-14.252557,70,51409.758002
-1.549265,70,51424.587502
-4.420879,70,51435.193502
-1.447619,70,51449.134502
-16.601077,70,51458.723
-0.952698,70,51473.600501
-12.639494,70,51483.181
-14.128993,70,51497.3135
-4.439155,70,51508.604502
-19.767439,70,51523.222504
-18.77646,70,51533.399003
-3.286571,70,51548.383501
-1.865222,70,51561.779001
-15.751636,70,51571.754502
-0.434786,70,51585.574502
0.74134,70,51595.135001
-14.254311,70,51609.7175
1.807214,70,51618.684002
1.763865,70,51632.865002
-0.129252,70,51642.369502
0.301237,70,51655.909003
-4.216665,70,51665.566502
-15.074289,70,51679.271502
1.93639,70,51692.764001
-2.845456,70,51701.810002
-23.187108,70,51715.454002
-0.166943,70,51725.190002
-0.024072,70,51738.742501
-18.714581,70,51748.269003
-17.392171,70,51763.251003
-0.447713,70,51771.192501
-0.074462,70,51785.421002
-12.954706,70,51794.594502
-16.892559,70,51808.518
-14.687925,70,51822.207001
3.271601,70,51831.968002
-12.555607,70,51845.252002
-12.218613,70,51853.841002
-0.170916,70,51867.319503
-3.666808,70,51876.025002
1.822952,70,51890.222002
-1.402405,70,51899.777003
-18.704209,70,51913.653002
-4.609485,70,51922.954502
-5.432687,70,51936.338502
0.352041,70,51949.758501
-4.010827,70,51958.338002
-13.294408,70,51971.678002
-7.26885,70,51980.219501
1.624766,70,51993.797502
-13.406431,70,52003.909501
-4.466402,70,52017.115
-10.512057,70,52027.139002
-2.303237,70,52040.748003
2.921555,70,52049.893502
-16.407938,70,52062.587002
-11.543571,70,52075.349002
1.865253,70,52084.584503
-15.987094,70,52098.292502
-2.432646,70,52108.648002
-3.118172,70,52121.595001
-19.711741,70,52130.898001
-0.718821,70,52144.235003
1.8925,70,52152.865002
-13.88839,70,52165.877501
-13.354273,70,52179.1805
-22.599265,70,52188.285001
-5.20473,70,52200.604001
-11.542017,70,52210.043502
-0.14977,70,52223.159501
-12.245617,70,52232.888002
-12.584014,70,52246.613502
-2.895404,70,52256.049002
1.520228,70,52270.958503
-16.440775,70,52281.606502
0.360261,70,52294.7455
0.661068,70,52308.012002
-9.075551,70,52317.099001
-13.027725,70,52331.025
-10.48397,70,52341.269502
-8.594952,70,52354.702002
-7.310586,70,52364.436502
