#{"t_start": 1628791282.0002491, "env_id": 0}
r,l,t
-14.477961,70,49518.849775
0.598013,70,49534.974665
-5.513917,70,49547.118487
-1.878847,70,49564.593916
-12.349689,70,49576.138264
-2.180487,70,49592.527701
-13.884958,70,49604.864209
-13.151675,70,49620.338762
0.071914,70,49632.587173
-1.291851,70,49648.737756
-2.88759,70,49665.491194
-0.110271,70,49676.918161
-6.410479,70,49692.921491
-2.99275,70,49704.394094
-1.549431,70,49719.949991
-1.032985,70,49732.334556
0.287652,70,49748.795156
-10.028024,70,49760.946799
-1.391634,70,49777.406683
-0.151152,70,49790.818647
-11.595493,70,49808.493857
-1.889,70,49823.648137
0.753129,70,49836.321615
-8.404614,70,49853.782144
-0.038335,70,49866.057435
-1.214553,70,49881.742986
-12.778731,70,49893.181586
-1.527256,70,49909.015972
-2.008428,70,49921.332517
-15.948114,70,49937.025994
-1.670547,70,49950.978692
-1.695225,70,49966.805591
-0.471226,70,49983.631455
-4.343826,70,49996.09767
0.863844,70,50012.735868
-1.927374,70,50024.83215
-2.539055,70,50040.291616
0.387219,70,50051.851378
-10.707777,70,50068.204138
-3.007901,70,50081.113925
-6.903106,70,50097.620273
-16.506215,70,50109.293162
0.754048,70,50124.844767
-14.629043,70,50142.651236
0.52211,70,50154.121189
-0.631119,70,50169.311469
-2.152558,70,50181.656107
-12.369365,70,50198.761356
-5.472217,70,50211.065892
-16.683277,70,50226.892482
-5.908305,70,50238.848584
-3.131317,70,50254.992134
0.019468,70,50267.217752
-2.768045,70,50282.580537
-3.397425,70,50299.060982
-5.224131,70,50311.451965
-11.651624,70,50327.236733
-10.711233,70,50339.291444
-2.000374,70,50355.361703
0.623951,70,50367.18398
-11.849198,70,50383.629715
-0.351639,70,50395.161092
-4.977461,70,50412.079583
-0.8645,70,50423.642992
-1.450578,70,50439.383987
-13.236686,70,50456.183898
-18.936766,70,50467.837355
-9.590839,70,50485.367936
-1.914678,70,50496.236639
-3.327803,70,50511.82392
-5.810756,70,50524.143248
0.22389,70,50540.325763
0.190234,70,50553.061936
-1.452168,70,50570.052159
-13.370665,70,50585.303908
-17.392183,70,50596.637189
-0.306338,70,50612.968932
-1.316213,70,50623.891906
0.696126,70,50640.274632
-16.177608,70,50651.956291
-4.103666,70,50668.682067
-6.152777,70,50679.682687
-2.234735,70,50696.42889
-7.764967,70,50707.765594
-2.90703,70,50722.800004
-6.441127,70,50738.285274
-9.045409,70,50751.463342
-7.362952,70,50766.819089
-5.877468,70,50778.481273
-16.001849,70,50794.848091
0.193686,70,50807.829274
-3.45239,70,50823.247176
-4.936861,70,50835.287309
-0.485845,70,50851.178449
-11.61112,70,50862.274548
-3.391585,70,50879.038261
-5.829639,70,50893.897995
-4.3412,70,50905.972718
0.661607,70,50922.116924
-4.622892,70,50934.114946
-11.372492,70,50950.753888
-6.851011,70,50962.549623
-2.367887,70,50978.641366
-2.561194,70,50991.29097
-2.697246,70,51006.614953
-10.013095,70,51019.769801
0.063826,70,51034.769624
-0.863605,70,51050.630499
-6.081923,70,51063.095723
-2.166505,70,51079.079182
-14.699557,70,51091.18992
-1.556741,70,51106.756587
