#{"t_start": 1628658777.4269898, "env_id": 0}
r,l,t
-12.328225,70,46465.369166
-2.959817,70,46480.05607
-8.634138,70,46491.438222
-21.276725,70,46506.605355
-21.348204,70,46517.4348
-16.69699,70,46532.30583
-3.552639,70,46542.165556
-21.02561,70,46556.234692
-21.116211,62,46565.260463
-10.614309,70,46580.606327
-19.509174,70,46591.240593
-20.68752,63,46604.98861
-0.531209,70,46616.043644
-18.81632,67,46630.983443
-8.434646,70,46645.531041
-18.036411,70,46655.924073
0.13752,70,46671.02523
-5.362513,70,46681.1855
-17.5641,57,46694.355519
0.425366,70,46705.404873
-21.856157,70,46721.40666
-11.623427,70,46731.948342
-6.399163,70,46746.579175
0.070373,70,46756.405058
-0.356939,70,46770.948387
-1.253495,70,46782.188948
-3.455193,70,46797.560073
-18.931896,57,46805.770692
-15.798164,70,46820.981898
-3.769879,70,46834.670784
-8.392397,70,46844.86329
-19.701067,70,46859.031585
-21.886788,65,46869.645936
-18.044381,70,46884.329229
-2.154059,70,46895.154009
-8.604207,70,46910.342468
-9.180949,70,46920.553728
-4.114254,70,46935.848104
-11.725703,70,46945.990145
-8.432747,70,46960.832937
-2.920309,70,46975.865258
-20.260259,70,46986.666325
-18.938343,59,47000.05832
-4.861836,70,47010.495565
-19.677114,64,47024.14984
-21.001096,70,47034.556523
-1.176666,70,47049.360203
0.187609,70,47059.625541
-8.136601,70,47075.12776
-0.011089,70,47085.632356
-5.885082,70,47101.268649
-14.219606,70,47111.326463
0.340758,70,47126.267305
-0.086716,70,47140.685736
-1.531285,70,47151.315278
-2.441975,70,47165.153178
-8.063502,70,47175.418679
0.275612,70,47190.078734
-4.552297,70,47200.659824
-4.441965,70,47215.743144
-0.739756,70,47226.734726
-7.673555,70,47241.870999
-4.944065,70,47253.159419
-21.796959,63,47267.867308
-6.686485,70,47278.589999
-3.627952,70,47292.891038
-17.511119,70,47307.721657
-1.965772,70,47317.272971
0.273858,70,47332.506145
-1.522126,70,47343.07365
-16.160839,70,47357.586835
0.288638,70,47368.822597
-21.258919,64,47382.821418
-17.659891,70,47392.923202
-0.871659,70,47407.921203
-16.96812,60,47416.974501
-18.892128,70,47431.155805
-0.993419,70,47441.284105
-7.121032,70,47455.946657
-2.919975,70,47471.255462
-6.783406,70,47482.209463
0.037077,70,47496.474349
-19.743055,59,47505.479559
0.975695,70,47520.567234
-14.834343,56,47528.88978
-3.112048,70,47543.789665
-18.839619,70,47554.543886
-15.451097,59,47568.879881
-2.890366,70,47579.858188
-3.186438,70,47595.189127
-2.557114,70,47605.72557
-17.605514,61,47618.64091
-1.490991,70,47628.836243
-1.600555,70,47643.97489
-18.387293,66,47653.989028
-3.848068,70,47668.807053
-4.351038,70,47679.318735
-0.020926,70,47695.150356
-13.93808,70,47710.411693
-19.871726,62,47718.84727
-10.903043,70,47734.863034
-11.039442,70,47745.375119
-6.55985,70,47762.142951
-15.930787,59,47771.206454
-4.723341,70,47787.356602
-3.870114,70,47797.933894
-0.186221,70,47812.642157
-3.789352,70,47823.00854
0.188087,70,47838.422077
-17.11325,64,47848.107396
-1.311699,70,47862.528696
-4.100111,70,47872.758527
-20.236823,70,47887.939503
-15.651121,58,47896.183469
-0.409015,70,47912.278085
-9.339256,70,47927.88304
-0.790661,70,47938.464164
-16.161698,56,47951.611392
-2.437818,70,47963.038765
-0.182382,70,47978.789468
-3.111155,70,47990.944045
-2.311085,70,48006.266438
-19.803422,70,48017.428793
-18.983671,70,48033.005697
-7.349575,70,48042.719097
-13.602256,70,48057.24528
-16.952576,70,48066.648525
0.673718,70,48082.208794
-17.953316,70,48098.23221
-10.391133,70,48109.312406
-19.527702,64,48124.611129
-16.751476,57,48133.638491
-1.9929,70,48148.765502
-14.91849,56,48157.556458
-25.570405,70,48173.773253
-21.594431,55,48181.369677
-0.666285,70,48196.946191
-15.641964,55,48205.605656
-3.151019,70,48221.133223
-6.757532,70,48231.600612
-16.555014,70,48247.029422
-9.553566,70,48259.180464
-1.217444,70,48274.495483
-17.702344,70,48286.373089
0.740906,70,48301.66345
-1.420507,70,48313.244763
-0.764881,70,48328.983567
-2.895775,70,48341.252805
-1.650979,70,48357.353712
-4.579943,70,48373.79559
-11.021574,70,48384.807963
-21.196531,70,48399.765465
-20.362749,70,48410.36547
