#{"t_start": 1628191733.4215348, "env_id": 0}
r,l,t
2.20044,50,53519.704998
-2.548589,50,53526.7145
1.925209,50,53539.4095
1.000837,50,53546.563999
-3.333313,50,53553.920499
-1.843538,50,53565.569
-2.642935,50,53575.014999
-0.529547,50,53587.398999
-1.783302,50,53594.8495
2.145771,50,53602.341
-0.223083,50,53615.691
0.923344,50,53623.617999
1.915291,50,53634.828
-2.35962,50,53642.785
-1.899504,50,53648.900999
1.273534,50,53661.083
-2.240892,50,53669.14
2.039463,50,53680.4545
2.928242,50,53687.944499
2.180511,50,53696.6445
1.243198,50,53708.5915
-2.188007,50,53717.941999
2.743411,50,53724.5865
2.264665,50,53734.809499
-3.637532,50,53740.283499
2.668457,50,53752.208999
-0.02995,50,53759.93
-1.596892,50,53767.366499
1.537233,50,53777.7645
2.685933,50,53786.069999
1.766628,50,53796.563
-3.584233,50,53804.976499
2.224704,50,53812.301999
-2.29243,50,53824.6375
2.394864,50,53831.8725
-0.084517,50,53843.580999
1.434113,50,53850.3105
2.511727,50,53857.8315
-1.970762,50,53869.788
-1.909961,50,53877.0305
0.430822,50,53886.602
2.380334,50,53895.2
2.1714,50,53903.7375
2.907418,50,53915.4685
1.862319,50,53922.5475
3.023477,50,53929.922498
0.361154,50,53941.183001
1.360398,50,53947.849
-2.216752,50,53958.530499
-1.696385,50,53966.254001
1.896225,50,53973.8895
-2.028889,50,53986.264
2.055841,50,53994.685
-2.485379,50,54007.237499
2.23602,50,54015.941
-0.100883,50,54022.761
-1.763783,50,54034.5345
2.746802,50,54041.949
2.445348,50,54054.934
2.679344,50,54062.586999
2.605408,50,54068.422999
1.902076,50,54080.573
1.75975,50,54088.330499
3.165287,50,54094.100998
-3.448382,50,54106.6085
2.537634,50,54115.347999
2.766268,50,54127.4245
2.675322,50,54134.231499
0.780449,50,54142.603999
1.700668,50,54154.858
-2.570894,50,54161.9525
2.378016,50,54174.247
2.869077,50,54180.974999
1.023668,50,54187.8525
2.473308,50,54200.7885
2.816647,50,54207.783499
-3.141717,50,54218.0535
-0.473999,50,54225.5995
2.988575,50,54232.110499
1.701062,50,54243.167
-1.219853,50,54251.5395
2.385398,50,54262.335999
-1.740452,50,54270.140999
-2.092837,50,54277.3735
-1.485245,50,54288.867499
2.800626,50,54295.6255
2.481387,50,54301.3495
0.377393,50,54312.176499
2.2167,50,54319.049
2.203328,50,54330.843999
2.942746,50,54336.781
1.674767,50,54344.143
2.874104,50,54355.131999
1.232533,50,54360.808499
-1.581723,50,54371.8025
-0.896485,50,54378.333999
-1.515851,50,54385.4165
2.730322,50,54396.486
-0.769318,50,54403.7855
-1.998317,50,54415.959
2.864452,50,54424.498
1.290004,50,54432.238
-1.561844,50,54443.606499
3.131195,50,54451.379
0.823241,50,54461.668
-1.220561,50,54468.5575
2.306603,50,54475.2895
2.336054,50,54487.6335
1.378622,50,54495.141
-3.500684,50,54502.3665
-0.363092,50,54512.585999
2.038592,50,54520.019499
2.380493,50,54532.387
-1.243501,50,54539.712999
3.134271,50,54545.931
0.14027,50,54557.9165
-1.193188,50,54565.8865
2.384085,50,54578.385001
2.667708,50,54585.450499
3.207475,50,54593.127499
1.806645,50,54604.269
2.759708,50,54612.0575
0.382786,50,54622.5995
2.751712,50,54630.906999
2.958215,50,54639.3125
-0.517875,50,54649.4655
-1.856085,50,54657.2455
2.869933,50,54664.448
-1.298219,50,54674.882499
-1.383517,50,54683.0375
2.616634,50,54694.5885
0.972084,50,54701.6395
-1.164544,50,54708.412
2.755742,50,54718.9965
2.805899,50,54725.9035
2.171725,50,54736.0995
3.130807,50,54743.339
2.358525,50,54749.948999
1.026223,50,54760.446
2.747187,50,54767.321
-2.783616,50,54778.732
2.053082,50,54787.43
-0.256,50,54794.175501
0.858195,50,54805.3515
2.71615,50,54812.132499
-2.122306,50,54824.195999
3.110567,50,54829.890998
1.41675,50,54836.734999
2.950327,50,54848.736
1.970116,50,54856.4945
2.494987,50,54864.0055
-2.612815,50,54875.1
2.855036,50,54882.4645
-1.884733,50,54893.987
2.027577,50,54901.924
1.39702,50,54909.167
-1.305433,50,54921.439999
2.550955,50,54929.97
2.496745,50,54941.2775
3.000349,50,54948.4275
-1.787879,50,54955.3655
1.886297,50,54966.3865
-1.856787,50,54973.654498
-2.880961,50,54985.17
3.057752,50,54992.7755
3.044671,50,55000.007
-1.688017,50,55011.904
2.383333,50,55020.109
0.864466,50,55031.517998
-0.699402,50,55038.425499
0.211069,50,55043.645
2.280395,50,55056.924
1.189667,50,55063.447001
2.522791,50,55071.6165
2.175057,50,55083.441
2.867928,50,55092.303
-3.174426,50,55103.533
-1.974447,50,55110.1635
-0.33455,50,55119.182
-0.565719,50,55131.054999
-2.161584,50,55137.836499
0.790588,50,55148.713
2.367528,50,55156.7335
2.651015,50,55165.8605
-2.177495,50,55177.771999
-0.315692,50,55185.1585
0.419052,50,55196.525
2.766485,50,55204.850499
3.201525,50,55212.647999
2.703432,50,55223.259998
2.238169,50,55231.358
-1.954833,50,55239.775499
-1.851542,50,55251.9725
-2.444018,50,55259.537499
2.806404,50,55272.050001
0.583309,50,55280.5845
1.817253,50,55288.560999
2.92299,50,55300.6275
1.869724,50,55308.655
0.890764,50,55320.747998
-1.952022,50,55327.074
-1.634941,50,55336.161
-1.648429,50,55347.765
1.262088,50,55357.121
2.878617,50,55368.735999
2.770735,50,55377.0815
3.071849,50,55385.145
2.507127,50,55397.763499
0.531196,50,55406.3865
-1.809264,50,55419.897
1.284905,50,55428.0795
0.911541,50,55436.4875
3.119022,50,55448.2105
0.01831,50,55457.5095
-3.107782,50,55466.585
3.125826,50,55479.1835
2.890197,50,55487.578998
2.616474,50,55499.345999
2.829904,50,55507.5075
2.665049,50,55515.369001
-1.958586,50,55527.1665
2.128095,50,55534.839
2.877925,50,55547.358
2.636146,50,55553.723
0.802783,50,55562.012499
1.328388,50,55572.972
1.429546,50,55580.376
-1.710848,50,55591.168
2.988957,50,55598.384
3.388425,50,55604.773
-1.910355,50,55615.5115
-2.353702,50,55622.882999
2.902633,50,55635.0035
-1.38726,50,55640.2465
2.696186,50,55648.3395
2.743946,50,55658.794
1.331115,50,55667.5425
2.580681,50,55674.986
-2.879989,50,55686.303
-1.429932,50,55693.285999
2.663348,50,55705.408
2.381891,50,55713.179999
3.11862,50,55720.175999
-1.579703,50,55731.944499
3.08968,50,55740.804998
2.187117,50,55751.294999
-2.091602,50,55759.302001
2.605663,50,55767.077
2.71155,50,55777.529
2.53115,50,55785.518
-1.099342,50,55797.218
1.547839,50,55805.1095
2.980396,50,55811.784499
-2.303015,50,55823.473999
2.570339,50,55831.043499
1.93074,50,55837.957
1.801791,50,55849.139
2.668997,50,55857.297498
1.974349,50,55868.2525
3.067241,50,55875.788
0.087901,50,55884.0195
2.861574,50,55894.75
2.422726,50,55904.121
3.192075,50,55917.445
-0.334161,50,55926.384
-1.540289,50,55933.8395
3.246439,50,55945.255498
0.105502,50,55954.266499
-2.784578,50,55964.089
0.36152,50,55971.175999
2.76907,50,55977.0785
2.495386,50,55987.7465
-2.518135,50,55995.153001
1.972922,50,56006.25
0.800505,50,56013.8395
0.691559,50,56021.0095
0.293923,50,56033.4465
0.437792,50,56039.5125
2.997815,50,56046.8025
2.698141,50,56058.041
-1.811157,50,56065.383501
1.280552,50,56076.040499
1.202867,50,56083.4165
-1.008971,50,56091.471
2.802879,50,56102.954
2.632771,50,56109.793
-1.489216,50,56121.4605
1.265454,50,56128.492
2.088102,50,56137.424999
2.987689,50,56149.0345
3.13171,50,56156.0355
0.675642,50,56166.755498
-0.086207,50,56174.215
2.43972,50,56181.647
2.836155,50,56192.126499
2.546725,50,56199.412999
-3.607312,50,56210.713499
2.01658,50,56217.016499
-1.592533,50,56224.9195
-1.514521,50,56236.6365
-1.387341,50,56244.1245
-1.878446,50,56251.341499
2.551529,50,56261.8145
-2.276715,50,56269.028999
2.610238,50,56280.889
-1.443873,50,56288.421999
3.304201,50,56295.5685
3.03461,50,56306.5535
2.642368,50,56314.1375
-1.289572,50,56324.1255
1.777551,50,56331.1565
3.014823,50,56338.6685
2.67081,50,56350.271
2.296264,50,56357.2385
2.563511,50,56366.918999
-2.156791,50,56373.854
-1.203507,50,56382.2605
0.157149,50,56392.939
-1.328415,50,56399.019499
-2.584244,50,56406.3745
2.444346,50,56417.134
2.673656,50,56424.8055
-4.404335,50,56436.066
-1.507822,50,56443.7165
2.241687,50,56451.2365
-2.33231,50,56462.396
2.82443,50,56468.921999
2.835556,50,56480.647
-1.538206,50,56488.3185
3.021839,50,56494.882
2.945269,50,56506.222
3.095578,50,56514.775
2.067615,50,56526.1055
3.176146,50,56532.98
3.257917,50,56540.326
2.637737,50,56551.2535
2.911111,50,56559.792
-0.741077,50,56570.2655
2.888124,50,56578.4675
3.00119,50,56586.613999
-1.743605,50,56597.754
0.418127,50,56603.8155
3.169166,50,56610.966
2.424666,50,56623.4175
2.950665,50,56629.998
-0.226451,50,56640.722999
-2.236725,50,56647.403
2.484422,50,56655.182
1.611236,50,56665.7345
2.502602,50,56673.619499
-3.45825,50,56684.647
3.146644,50,56692.677
3.122728,50,56700.345499
1.173124,50,56712.6855
2.193246,50,56719.377501
1.036047,50,56731.924
1.970381,50,56738.9465
-3.776921,50,56745.468
1.629448,50,56756.889
1.684502,50,56764.3045
-1.99699,50,56775.847999
0.008699,50,56783.169499
2.535308,50,56790.678499
2.773588,50,56802.549
2.622515,50,56809.8705
-1.929262,50,56816.905
2.60072,50,56829.1175
2.411275,50,56835.575
0.850599,50,56846.494
0.00989,50,56854.0635
1.854549,50,56861.834499
-1.880081,50,56873.5845
3.322039,50,56881.451999
1.141637,50,56892.1
2.900418,50,56899.113999
2.486432,50,56906.6225
1.961954,50,56916.522
2.838342,50,56924.2255
2.04686,50,56936.1305
2.920564,50,56943.468999
1.97462,50,56951.620499
-1.581522,50,56963.046999
2.697001,50,56971.039
0.317711,50,56977.7345
-1.429854,50,56988.8735
2.440279,50,56996.683
0.831051,50,57007.297499
-1.711032,50,57013.382999
-0.862219,50,57020.385
2.494368,50,57030.6395
2.94656,50,57039.102
-2.606054,50,57050.5285
-3.368328,50,57056.8125
-1.96408,50,57064.500999
-1.602043,50,57076.081
-1.53556,50,57082.9175
3.305423,50,57094.615
3.459983,50,57101.127498
2.944997,50,57107.778
0.270455,50,57120.3435
3.003565,50,57128.113
2.717849,50,57139.1475
2.865246,50,57146.202
2.741309,50,57154.737499
0.751803,50,57165.225498
3.006317,50,57171.639
2.54768,50,57179.5405
2.969911,50,57192.173
-3.776079,50,57199.701
0.374767,50,57210.952
1.693277,50,57218.013
0.924593,50,57225.992
1.08644,50,57237.331
-1.423783,50,57243.138499
0.498833,50,57252.881999
-1.281265,50,57260.661999
2.54728,50,57267.6235
3.155936,50,57279.745
2.538958,50,57287.15
3.027787,50,57298.01
2.809533,50,57304.918499
-2.078524,50,57312.815499
-2.007319,50,57325.004499
2.516203,50,57331.902499
3.213869,50,57343.745
2.755868,50,57351.894
2.917221,50,57359.5175
2.737778,50,57369.842499
0.73072,50,57377.099999
1.667586,50,57384.6115
2.691107,50,57396.4885
-1.841026,50,57404.0815
1.361442,50,57414.778498
2.557748,50,57422.030499
-1.597925,50,57428.2235
1.695008,50,57438.7435
1.207288,50,57446.3725
-1.409075,50,57458.277
-2.408067,50,57465.129
2.958249,50,57472.137
-0.156949,50,57483.826
1.2185,50,57491.0435
0.141294,50,57502.182001
2.735888,50,57509.481
-1.90571,50,57516.885
0.321399,50,57529.0815
3.238298,50,57536.982998
-1.751525,50,57545.418499
1.51747,50,57555.983
0.598592,50,57563.848
-3.14867,50,57573.9625
0.330955,50,57580.182002
0.246599,50,57588.475999
1.130511,50,57600.660499
2.787748,50,57608.599999
2.764614,50,57619.841
-2.059325,50,57626.8595
3.068495,50,57634.1695
-1.920374,50,57644.7265
3.121698,50,57652.469
-1.048585,50,57663.511002
