#{"t_start": 1629141151.7496371, "env_id": 0}
r,l,t
-1.643688,111,70397.154488
6.694574,120,70422.072466
-5.998353,96,70442.475353
-2.984729,96,70463.067019
4.687093,120,70488.461749
-6.236755,102,70511.128405
-6.252581,94,70526.937794
-5.411879,90,70547.053381
3.223237,120,70572.545506
7.303527,120,70596.951162
-3.928349,120,70622.072071
6.69625,120,70647.41266
2.347532,120,70673.48223
-3.834366,100,70690.185844
-2.701041,120,70715.336145
7.324705,120,70740.737318
-5.880101,89,70760.043604
2.876786,120,70786.461314
7.070397,120,70810.332832
4.789615,120,70836.16791
5.995849,120,70862.524841
3.792764,120,70887.61752
-2.938142,120,70915.28337
2.3692,120,70941.371111
-6.495796,90,70958.543902
-5.398442,108,70981.908872
-7.362105,93,71003.630288
-2.340492,117,71028.214259
3.004528,120,71054.792369
1.312706,120,71080.662633
-3.317343,109,71100.058275
-2.444259,115,71125.745318
6.004154,120,71153.31766
-5.643997,93,71174.315279
5.42426,120,71201.624396
-9.31005,120,71228.918239
0.107456,120,71255.57909
-4.897964,120,71282.46731
-3.574202,108,71308.606219
-5.751195,90,71326.75945
-5.923366,83,71346.579058
-1.045474,120,71372.068446
3.679848,120,71400.360035
2.231939,120,71429.82981
-3.738887,110,71455.359178
1.718699,120,71486.018087
-1.391249,120,71517.30472
3.883542,120,71542.821573
4.639854,120,71571.167544
4.010263,120,71598.524977
-3.321082,120,71629.210791
3.585202,120,71658.213273
7.301936,120,71685.420024
4.303795,120,71713.339421
-4.320323,89,71733.779792
-4.911161,105,71756.863298
1.17247,120,71782.309434
3.626768,120,71807.124078
3.222884,120,71835.569797
4.085226,120,71861.802246
4.192874,120,71889.418992
3.307485,120,71917.185511
5.811386,120,71946.939314
-5.41531,83,71968.617126
3.987163,120,71996.75156
-5.159215,100,72019.099893
6.684559,120,72042.616029
3.196136,120,72072.557103
1.782717,120,72101.074257
5.739712,120,72128.648547
-7.103337,73,72146.992803
6.149133,120,72173.633914
-6.879446,89,72195.208257
5.924625,120,72217.319913
-7.217821,90,72239.086802
4.252103,120,72265.459102
-4.681749,98,72287.71321
-6.27323,98,72309.731284
1.394768,120,72335.625089
3.490837,120,72358.200775
-8.894792,94,72379.105418
3.592304,120,72405.361907
6.913706,120,72431.046116
-5.646853,120,72459.928206
-7.31592,120,72486.660934
6.885096,120,72513.063632
6.738278,120,72537.949718
-4.782301,79,72551.030522
3.41089,120,72577.028961
-4.063753,88,72597.253282
-3.946423,95,72617.572696
1.138157,120,72642.376304
6.281046,120,72668.227409
-5.547472,75,72681.509632
-3.847835,112,72706.137671
5.945374,120,72731.840549
6.361558,120,72756.114763
-5.162039,85,72774.979775
-5.807956,90,72791.522903
-7.630791,95,72813.066961
6.440496,120,72842.432348
1.443207,120,72869.583997
-6.757574,68,72885.724637
1.594508,120,72906.967002
4.520976,120,72933.2004
-10.455656,69,72950.691877
6.137782,120,72976.549221
4.888492,120,73002.598879
3.855514,120,73026.632275
4.868668,120,73052.104103
2.931604,120,73077.991004
6.471598,120,73104.447692
-4.338153,108,73124.445797
4.412364,120,73149.857253
-8.095057,74,73167.761308
-2.8801,118,73192.350037
-6.152544,89,73214.189958
-5.95552,101,73230.596018
-4.435043,107,73255.029297
3.888593,120,73281.907544
3.987598,120,73309.705393
-6.152751,114,73336.16662
3.200114,120,73366.892797
1.282998,120,73392.515951
-5.043394,109,73417.364354
2.916358,120,73444.042722
-5.632157,90,73461.96281
-3.551369,86,73481.422101
0.93824,120,73507.88894
7.214062,120,73533.569179
1.037429,120,73562.880577
-5.099065,96,73584.842561
5.341705,120,73611.22617
2.742659,120,73633.310076
-9.033395,120,73660.083186
2.078014,120,73687.241049
2.215228,120,73714.460575
7.375956,120,73742.041541
5.873769,120,73769.436839
4.523464,120,73797.177079
3.197312,120,73823.735447
6.8928,120,73850.835771
