#{"t_start": 1628791282.062753, "env_id": 0}
r,l,t
-0.173856,70,49518.756018
-11.113472,70,49534.896534
-3.583635,70,49547.07161
-12.172022,70,49564.500162
-10.779024,70,49575.982002
0.532597,70,49592.496449
-2.438846,70,49604.770452
-0.310383,70,49620.245005
-13.082926,70,49632.493417
-12.438155,70,49648.643999
-1.955841,70,49665.444318
-0.733356,70,49676.828777
-0.42487,70,49692.780853
-3.370583,70,49704.338586
0.459304,70,49719.840606
0.513516,70,49732.33659
-0.596318,70,49748.751657
-1.063816,70,49760.790535
-5.783609,70,49777.250419
0.54443,70,49790.803025
-5.343508,70,49808.465299
-3.019166,70,49823.616886
-10.599842,70,49836.206099
-12.793093,70,49853.71964
-4.909318,70,49865.854294
-16.570757,70,49881.617974
-1.199678,70,49893.186906
-13.120413,70,49908.953469
0.053594,70,49921.222377
0.305297,70,49936.96349
-3.908819,70,49950.884937
-11.106408,70,49966.711834
-9.804066,70,49983.475195
-0.172261,70,49996.003913
-13.465978,70,50012.673365
0.127916,70,50024.785272
0.696205,70,50040.197857
-1.432901,70,50051.820129
-0.769779,70,50068.141634
-14.449099,70,50081.051421
-10.541807,70,50097.526516
0.020668,70,50109.183777
-1.665245,70,50124.797891
-19.703158,70,50142.541852
-2.150425,70,50154.011806
0.744277,70,50169.200777
-19.029027,70,50181.531097
-10.650544,70,50198.745734
-6.142898,70,50211.074543
-0.267056,70,50226.814353
-1.338169,70,50238.743656
-2.762174,70,50254.851496
-1.544114,70,50267.06149
0.419275,70,50282.48678
-10.492688,70,50298.951601
-2.371602,70,50311.29057
-0.956168,70,50327.127348
0.663415,70,50339.15081
-4.526866,70,50355.299199
-3.850122,70,50367.105847
-1.148422,70,50383.520333
-3.583858,70,50395.082959
-2.605728,70,50412.036926
0.491573,70,50423.564862
-6.510016,70,50439.373196
-1.030497,70,50456.090144
-6.330473,70,50467.759224
-2.603398,70,50485.289806
-3.278194,70,50496.111628
-0.265467,70,50511.745792
-13.497334,70,50524.049493
-1.542285,70,50540.26426
-2.668254,70,50552.96818
-0.134395,70,50569.942778
-1.85591,70,50585.255739
-3.778123,70,50596.590313
-1.439879,70,50612.859549
-4.367991,70,50623.891908
-8.552274,70,50640.149621
-4.449211,70,50651.878161
-1.34717,70,50668.603935
-3.633242,70,50679.542051
-10.01425,70,50696.335131
-0.425993,70,50707.734345
0.229074,70,50722.785561
-2.770648,70,50738.225795
