#{"t_start": 1628700901.48383, "env_id": 0}
r,l,t
-19.022831,70,51298.113999
-3.254683,70,51311.4555
-2.772174,70,51321.409
-1.170621,70,51336.1555
1.206588,70,51345.5225
-4.01319,70,51359.987
2.832413,70,51370.138999
-1.506216,70,51383.809
1.558666,70,51394.233
1.355783,70,51409.8655
-13.558396,70,51424.629499
-7.669401,70,51435.231
0.100655,70,51449.127497
-0.253539,70,51458.799499
2.530479,70,51473.633999
-6.720634,70,51483.260499
-1.394614,70,51497.448997
-17.604132,70,51508.654
1.685721,70,51523.267002
0.183517,70,51533.427
-0.320659,70,51548.374
-1.193223,70,51561.8625
-6.88443,70,51571.814997
-17.39612,70,51585.633
-10.921857,70,51595.173999
-5.570151,70,51609.762498
-12.488301,70,51618.770999
-15.430002,70,51632.887997
-1.241756,70,51642.396
1.212061,70,51655.978999
-15.316908,70,51665.588499
-1.355634,70,51679.335999
-5.899008,70,51692.795999
-11.731693,70,51701.844498
-0.43179,70,51715.479999
-5.252765,70,51725.188499
-1.757006,70,51738.788
-2.09712,70,51748.373499
-12.31226,70,51763.2415
-14.20793,70,51771.190999
2.034015,70,51785.4655
-0.001011,70,51794.660997
-5.34988,70,51808.603
3.284326,70,51822.225499
-13.335902,70,51832.013997
-13.713751,70,51845.306
-5.555452,70,51853.922499
2.00987,70,51867.369
-3.279146,70,51876.0715
-10.122585,70,51890.247998
0.082121,70,51899.839998
1.641039,70,51913.6885
2.459001,70,51922.964999
-0.502131,70,51936.370499
-15.645131,70,51949.7905
1.512401,70,51958.387499
-12.031547,70,51971.679497
-21.994544,70,51980.240999
1.12825,70,51993.872497
3.03558,70,52003.973999
-15.512721,70,52017.2005
-12.912926,70,52027.215497
-12.930124,70,52040.811501
-0.945802,70,52049.938499
-21.168479,70,52062.618
1.797303,70,52075.4075
-13.561208,70,52084.6055
-2.21525,70,52098.303999
-15.203378,70,52108.676999
-7.17369,70,52121.7045
-22.14195,70,52130.924497
-10.752389,70,52144.291497
-1.470117,70,52152.939
-10.939161,70,52165.932501
-21.182305,70,52179.191499
-2.466206,70,52188.322
-0.842679,70,52200.622501
-4.504412,70,52210.085499
-21.452786,70,52223.2845
-12.191622,70,52232.979499
-14.364743,70,52246.635
0.188911,70,52256.128
-4.211828,70,52271.013998
-11.389319,70,52281.658998
-18.274994,70,52294.8135
-1.244518,70,52308.037498
-2.155336,70,52317.1645
-12.036988,70,52331.0815
-21.262089,70,52341.285499
-1.121968,70,52354.730499
-8.152417,70,52364.476
3.003723,70,52378.572999
2.138194,70,52389.0745
0.23302,70,52402.612998
-1.819087,70,52411.820499
0.253123,70,52425.461999
-15.919698,70,52438.148499
2.38861,70,52449.0275
1.067952,70,52462.801
-2.724637,70,52471.304499
2.852928,70,52484.116498
-0.080647,70,52492.974497
-15.971326,70,52506.1685
1.078574,70,52516.748
2.126901,70,52529.476999
-2.620567,70,52539.3285
-1.42818,70,52552.416499
-12.657193,70,52566.604499
-2.234227,70,52576.180499
-3.675479,70,52590.651
-14.744552,70,52601.1355
-10.64651,70,52614.0015
-14.677634,70,52623.196
-13.854274,70,52636.543
2.586992,70,52646.0055
-12.267424,70,52659.447
-1.84765,70,52667.791999
3.131411,70,52682.1705
1.225197,70,52696.547
-8.102104,70,52707.816
-12.524198,70,52721.459998
1.076048,70,52730.510499
-1.568697,70,52745.498997
-0.894421,70,52755.1275
-14.370587,70,52768.9825
0.13375,70,52777.9985
-3.758296,70,52791.7735
1.270547,70,52800.701499
-14.087148,70,52815.007001
2.095702,70,52829.5
0.000942,70,52838.8645
0.817355,70,52852.862
2.595945,70,52862.343
-2.023797,70,52875.6265
2.462096,70,52886.880999
-18.947057,70,52899.321
-18.363439,70,52909.000999
1.416094,70,52922.5365
-18.23735,70,52938.053999
0.032557,70,52948.1695
-3.993107,70,52962.141999
-0.003836,70,52971.3175
2.055383,70,52986.225999
0.364928,70,52995.515999
-0.733879,70,53008.092999
0.761453,70,53018.3445
-4.62803,70,53031.154499
-17.556173,70,53039.873999
-9.139778,70,53052.7955
-10.033013,70,53066.146997
-6.091452,70,53075.182999
-14.810334,70,53087.272
0.138132,70,53095.397999
-3.505863,70,53108.669499
-14.298632,70,53118.896499
2.190091,70,53131.428999
-12.065569,70,53140.570999
-18.144269,70,53154.257999
-15.262857,70,53163.359999
-14.973474,70,53177.073499
-2.617191,70,53190.931
-5.764289,70,53200.451998
-11.594489,70,53214.813
-8.943159,70,53224.988999
1.897507,70,53238.667999
-17.047894,70,53247.9945
-4.02957,70,53262.950501
-3.372166,70,53272.963
-9.538778,70,53285.614498
-22.836684,70,53294.355
-13.650637,70,53308.864498
-12.804434,70,53322.224499
1.957701,70,53331.1245
2.263969,70,53345.177501
-13.526538,70,53355.186
2.911898,70,53368.457999
-0.600351,70,53376.766001
-15.077171,70,53389.799498
1.563112,70,53398.853
-1.322398,70,53412.018499
-15.5223,70,53420.745499
-20.747666,70,53434.964999
0.482873,70,53447.841499
-13.557557,70,53456.643498
-23.441795,70,53468.941999
2.7906,70,53478.353998
-0.748626,70,53491.3005
0.332563,70,53501.040499
-2.919022,70,53513.8
-9.012041,70,53522.567002
1.995718,70,53536.791
-0.045824,70,53546.0155
-17.355196,70,53559.849499
-0.047469,70,53573.3415
-11.127875,53,53582.032
1.749062,70,53595.0955
0.761896,70,53603.936498
0.659765,70,53619.752501
-14.203492,70,53630.488999
-1.222615,70,53643.7015
-14.532652,70,53653.609999
0.155302,70,53666.657
1.296953,70,53676.601001
2.113369,70,53690.480499
-16.720724,70,53699.5105
1.32373,70,53713.071499
-12.977265,70,53726.552
1.138148,70,53735.479499
-6.439378,70,53749.657499
2.162103,70,53758.211999
0.047558,70,53772.2165
0.796879,70,53782.2365
-0.276591,70,53795.010499
2.870561,70,53807.119999
-6.99031,70,53821.064998
-4.762318,70,53831.878998
2.880257,70,53848.274997
-0.967074,70,53861.570499
1.364473,70,53871.364501
-14.667275,70,53886.563999
-6.976927,70,53897.770999
-15.413776,70,53913.287
-7.886965,70,53924.143998
-28.236717,69,53937.7305
0.480837,70,53947.824
1.482993,70,53963.4715
-3.553041,70,53973.437
-15.494181,70,53986.893999
-1.253947,70,53999.906499
-0.192302,70,54010.401999
-14.806747,70,54024.927001
-12.319617,70,54035.062998
-14.769636,70,54049.124001
-1.351091,70,54059.372498
1.415874,70,54074.905499
2.066729,70,54083.681999
-22.105524,70,54096.771498
-7.730359,70,54112.397
1.129608,70,54122.854499
0.211703,70,54138.3295
1.727298,70,54149.287499
0.822684,70,54163.574499
0.666946,70,54173.007501
-19.224371,70,54188.655497
0.382666,70,54199.187499
-13.262308,70,54214.786499
-9.135516,70,54225.3065
-2.600171,70,54239.757499
-13.669274,70,54253.894001
-15.407083,70,54263.581001
-2.397754,70,54278.449999
1.585782,70,54287.988498
-16.741335,70,54301.7595
1.541527,70,54311.189
-13.295451,70,54326.417499
1.011657,70,54336.970998
-4.664678,70,54350.964499
-9.406814,70,54361.596
-11.933671,70,54376.557999
2.631116,70,54393.549498
-9.587042,70,54406.543499
-4.808975,70,54421.525499
-1.093127,70,54431.465
-15.524606,70,54444.851498
-23.508711,70,54454.602498
-12.272345,70,54469.360499
-3.588755,70,54478.9075
-18.757304,70,54493.561997
2.076706,70,54503.608001
-0.984829,70,54517.233999
-21.165878,70,54530.862001
-17.609951,70,54540.715499
-22.719079,70,54555.1875
2.330384,70,54564.853
-23.867573,70,54578.727999
2.406379,70,54587.5615
-13.509462,70,54601.564
-14.973666,70,54612.342499
