#{"t_start": 1629141151.5931082, "env_id": 0}
r,l,t
2.471054,120,76177.055703
-5.570803,108,76200.891281
5.946008,120,76228.097457
7.023306,120,76254.644913
-2.5561,97,76278.322436
-3.829436,116,76298.954301
-7.555499,120,76326.371334
6.713707,120,76352.973881
4.281807,120,76381.087939
-5.015285,110,76408.043264
5.780208,120,76434.791567
5.685423,120,76462.789967
-7.206296,82,76485.158722
5.054911,120,76515.239259
5.603568,120,76543.523985
-10.326892,107,76564.381653
3.349048,120,76592.402542
-5.815547,111,76619.156843
4.988122,120,76647.2938
-7.35161,86,76668.010809
4.369671,120,76696.880898
-14.805594,120,76727.602397
-6.881561,113,76753.902863
2.82128,120,76781.569548
5.187041,120,76806.284528
-1.226561,120,76834.963637
-47.368332,115,76865.707643
-3.037862,93,76888.426287
-3.751584,101,76914.298038
5.670353,120,76942.858832
-2.015635,96,76963.196994
-5.317032,74,76980.82806
4.421591,120,77009.08511
3.123224,120,77036.740755
5.74321,120,77065.546333
2.293272,120,77095.080164
-6.553293,93,77119.955564
1.537224,120,77143.978467
-9.34503,97,77167.002462
4.120703,120,77195.679989
-2.400215,91,77218.319752
7.136351,120,77247.362989
5.008798,120,77275.629134
4.885506,120,77301.829036
-1.291453,115,77327.460549
-7.056588,85,77342.507465
-7.96347,88,77363.108558
2.788148,120,77389.0381
2.506583,120,77417.567538
-5.490749,91,77439.305904
7.199253,120,77461.987558
3.405504,120,77492.39634
-6.896226,92,77514.194813
-4.549058,115,77540.83531
2.379941,120,77568.409107
2.455645,120,77598.02281
4.49129,120,77625.334745
-6.984439,80,77640.108186
2.275921,120,77666.759508
3.857249,120,77695.316247
7.141672,120,77722.587377
5.019422,120,77750.645959
5.303599,120,77779.885604
0.517338,120,77806.636105
-0.6318,120,77833.758826
6.49717,120,77862.916996
1.65461,120,77893.630738
4.560411,120,77920.729286
5.628467,120,77947.993473
0.208968,120,77974.413807
-6.218662,120,78003.924033
-6.599237,87,78020.037349
2.549167,120,78046.83882
-2.790176,100,78072.017691
-4.066819,106,78097.165071
3.991408,120,78124.951498
-3.99788,110,78148.879414
4.330569,120,78176.060241
-6.413496,83,78192.15025
5.51289,120,78220.771788
-4.231028,105,78246.352124
3.607864,120,78275.657649
5.525233,120,78303.226964
6.087573,120,78333.043862
5.658633,120,78362.316857
-4.976358,101,78385.762291
4.319839,120,78409.121163
-5.981653,81,78429.841969
-6.362014,85,78452.367818
5.100667,120,78481.053866
3.886014,120,78510.96633
3.558971,120,78541.767226
-5.648757,120,78571.98247
-5.944322,120,78597.407835
-2.628719,120,78626.563447
1.768709,120,78658.588743
-5.650923,84,78680.991245
-6.344279,78,78701.027028
3.844142,120,78729.427154
-5.668743,75,78743.427944
-5.24997,83,78764.37715
6.596878,120,78791.97709
6.065086,120,78824.707954
-4.868156,96,78842.913721
-0.432562,120,78872.376827
6.084214,120,78900.87756
-5.642571,97,78923.871935
6.568778,120,78951.719964
4.450826,120,78979.566236
-5.700564,118,79008.451333
5.445208,120,79036.048544
4.813072,120,79063.15815
0.17871,120,79091.622194
-7.276279,85,79111.726434
1.488676,120,79142.090987
4.940578,120,79169.778338
5.965165,120,79197.082058
0.714175,120,79224.638509
-6.068453,87,79246.132108
2.729277,120,79273.839078
-5.148443,103,79292.791679
5.400214,120,79320.025923
5.5263,120,79347.350268
6.532601,120,79378.874376
2.666842,120,79408.034165
-6.363419,83,79429.15957
5.590981,120,79458.62138
4.999302,120,79485.541261
3.979223,120,79514.238341
5.488649,120,79542.012982
3.692697,120,79569.856087
5.604853,120,79598.193917
1.127518,120,79622.000914
3.758994,120,79649.814523
-6.625463,70,79667.992894
2.891776,120,79695.544875
-2.459854,120,79723.67236
2.954653,120,79752.332047
-7.382295,120,79781.061508
1.477483,120,79808.679207
6.486891,120,79837.757821
5.520911,120,79863.474926
3.737328,120,79892.664412
-5.611227,77,79911.021132
4.514695,120,79938.968311
3.706082,120,79966.446436
0.364466,120,79992.803488
1.316612,120,80020.482782
5.164203,120,80047.535525
-3.128408,120,80077.179556
1.228753,120,80105.74636
6.474362,120,80132.992042
3.822713,120,80155.059011
3.007205,120,80180.532846
6.669529,120,80207.898479
5.262988,120,80237.732318
-1.523239,120,80265.531442
4.647103,120,80293.377919
0.831515,120,80321.700885
4.695454,120,80349.244606
5.67821,120,80376.348895
-5.477635,96,80398.34921
-4.281477,120,80425.06342
-5.519082,88,80442.240442
2.465885,120,80470.246194
4.809835,120,80496.402487
5.3405,120,80523.916351
-1.783592,120,80550.850095
4.137545,120,80577.966864
4.579547,120,80604.587862
2.678783,120,80632.528947
5.421527,120,80660.466722
-5.74306,79,80675.067153
-5.96323,89,80697.669306
-8.851294,106,80724.60636
-4.854689,72,80742.78005
-6.265347,92,80760.473979
5.142008,120,80788.108273
6.398389,120,80816.240153
3.605984,120,80842.605392
1.636627,120,80868.609095
1.544429,120,80895.38
-5.352455,108,80920.154366
3.087411,120,80948.554951
2.62032,120,80976.107238
6.005839,120,81005.26705
5.525823,120,81033.632872
5.297697,120,81057.401684
3.27521,120,81084.727977
-4.185172,120,81111.641891
6.004963,120,81139.76952
5.067762,120,81166.683441
5.41978,120,81195.324401
-7.998175,120,81224.329343
5.759169,120,81252.909016
6.646361,120,81281.62966
-5.057165,105,81305.887056
5.775136,120,81334.559099
4.177402,120,81362.39016
-5.505349,93,81378.430469
-4.166194,106,81403.306546
-0.856942,120,81430.558744
5.925537,120,81459.474669
5.245849,120,81485.659244
-6.567896,92,81506.687324
3.184918,120,81536.672671
-4.432162,91,81554.478639
7.101148,120,81582.514148
-0.099276,120,81609.216153
5.284182,120,81636.427636
6.925279,120,81664.208606
-4.943776,113,81690.081188
-0.594376,120,81716.733964
-5.147742,99,81741.122125
5.392839,120,81769.118533
0.001373,120,81796.810943
0.806965,120,81822.562308
-3.771247,101,81842.040391
4.485732,120,81870.122178
4.081721,120,81897.042339
5.832069,120,81924.545189
-5.623326,93,81945.163814
4.032241,120,81971.516305
-4.388574,102,81995.709684
4.097259,120,82023.915679
-16.188364,120,82052.529613
-5.384242,93,82069.718611
6.650359,120,82098.456495
4.709832,120,82126.128409
-4.195962,91,82147.91602
5.520428,120,82175.314086
5.929055,120,82201.666508
4.903759,120,82228.798187
4.8354,120,82256.896767
6.440901,120,82283.812901
-3.044995,116,82305.600092
3.84258,120,82332.148421
4.398662,120,82359.284181
6.265723,120,82386.732085
4.883126,120,82414.655975
-5.876242,120,82443.337968
5.906321,120,82470.613759
-5.781053,120,82499.178318
2.45118,120,82526.676877
6.1632,120,82554.854884
4.377157,120,82582.823012
4.220696,120,82610.032138
6.065317,120,82637.62135
-5.422206,120,82665.70544
2.858699,120,82693.095052
-8.197005,94,82710.480731
0.830556,120,82737.249966
4.55127,120,82764.691745
3.390044,120,82792.632493
2.509259,120,82822.400089
4.695728,120,82851.175256
-3.718557,104,82874.736948
3.977118,120,82902.230151
-6.719636,88,82918.997987
5.808915,120,82946.867488
-0.651201,120,82974.63146
3.500224,120,83001.768206
-4.227019,120,83028.718072
-5.884081,95,83052.431504
4.279899,120,83080.842929
5.905051,120,83108.84754
-2.07181,120,83139.686964
3.292986,120,83168.147146
3.571664,120,83197.582116
-3.0621,120,83225.413978
4.815263,120,83248.548089
5.504466,120,83277.07029
-3.562053,91,83298.497074
6.130927,120,83326.63293
6.59731,120,83354.428731
-7.25317,96,83377.843412
-4.729757,95,83395.928088
-5.616411,83,83416.793376
5.796897,120,83444.410555
4.123729,120,83471.177863
3.805494,120,83499.816222
5.66335,120,83526.41694
-6.306791,91,83547.489273
6.73682,120,83574.477404
4.550135,120,83597.844901
6.215143,120,83624.980307
4.413125,120,83651.560694
-0.617039,120,83679.9295
1.768949,120,83707.165026
-2.346458,120,83736.736309
-4.817956,85,83757.142147
2.63933,120,83784.510203
3.278306,120,83811.897402
4.330117,120,83839.974923
3.578376,120,83867.292259
6.845285,120,83889.281852
-1.768921,120,83918.151227
6.09185,120,83943.643335
4.509339,120,83970.966784
-7.835702,94,83993.180559
4.138521,120,84021.134037
-4.846186,120,84048.092885
4.867142,120,84077.156084
6.548771,120,84103.126332
5.335045,120,84131.249199
5.459968,120,84158.905731
3.916619,120,84187.770418
02,60,7344.684977
2.865975,60,7355.319835
1.938014,60,7370.016553
3.288536,60,7379.976976
0.844579,60,7393.988981
3.318156,60,7405.276566
3.191641,60,7419.201768
2.429008,60,7429.499792
3.381511,60,7444.542219
0.374418,60,7454.537955
3.323479,60,7469.705699
3.236196,60,7479.701612
1.381105,60,7494.030472
2.568885,60,7504.059851
3.0609,60,7518.437273
3.197992,60,7529.317348
3.407404,60,7539.613552
3.242353,60,7553.622533
3.424619,60,7563.970534
3.570516,60,7579.060156
2.800046,60,7589.522756
3.493924,60,7604.460469
2.431076,60,7614.563356
2.146571,60,7628.901814
2.922288,60,7639.04683
3.168051,60,7653.05584
