#{"t_start": 1628582083.193199, "env_id": 0}
r,l,t
3.653143,70,53034.4755
-1.318045,70,53048.604999
4.744938,70,53058.819501
3.058261,70,53072.440501
-0.198141,70,53083.308001
-2.436935,70,53098.223001
2.581063,70,53108.249001
-1.786872,70,53122.241501
3.37688,70,53132.8015
-0.571517,70,53146.8655
4.261673,70,53161.192501
-1.171454,70,53170.528999
-0.754887,70,53185.045501
4.617859,70,53196.503
3.342987,70,53210.242001
-0.270719,70,53222.279501
0.865834,70,53236.2935
-1.128088,70,53245.869
4.704901,70,53260.696501
4.210921,70,53270.8915
2.399184,70,53284.707501
3.804578,70,53298.777501
-0.119715,70,53309.5715
-3.931225,70,53322.868001
4.502431,70,53333.51
0.908105,70,53347.217499
4.273201,70,53358.101001
4.870713,70,53373.047501
0.347263,70,53382.7315
-0.766046,70,53396.4275
0.343001,70,53406.358999
1.245046,70,53419.426001
-1.581015,70,53433.8935
4.276493,70,53444.188501
-2.916371,70,53458.7645
2.879043,70,53469.559
-0.961004,70,53483.025001
4.68047,70,53492.760999
4.120869,70,53506.24
0.904056,70,53514.501501
3.979254,70,53527.949999
2.238333,70,53537.728001
3.399694,70,53552.708501
0.986843,70,53568.3625
0.739588,70,53578.721501
4.537859,70,53591.885
-0.911552,70,53602.465501
4.545071,70,53617.472001
1.00839,70,53627.325
3.617984,70,53642.2775
-2.111984,70,53652.596
-3.785445,70,53666.461501
4.987495,70,53677.229501
4.784211,70,53691.280999
0.465635,70,53706.718501
4.28019,70,53717.244
3.584878,70,53731.122502
4.952887,70,53741.091499
1.563894,70,53754.822001
4.668144,70,53765.266999
-4.494704,69,53778.592501
3.699215,70,53788.098001
4.37031,70,53801.387501
0.581223,70,53811.683499
4.495569,70,53827.29
2.678613,70,53841.652501
-3.228204,70,53852.3515
2.823757,70,53865.555001
4.656563,70,53876.744001
1.75638,70,53890.915499
4.711171,70,53902.6155
-1.342731,70,53916.505501
-0.092988,70,53927.230499
1.62754,70,53941.506001
-0.431645,70,53956.731
3.735827,70,53969.4635
-2.128118,70,53986.5235
1.315519,70,53998.136001
-4.961406,70,54012.137001
-1.760837,70,54023.659499
4.544234,70,54036.957
0.633369,70,54047.862001
-0.176564,70,54062.675
0.249811,70,54073.453497
2.031142,70,54087.0505
3.54686,70,54103.622
3.583394,70,54115.4215
4.733446,70,54129.795001
0.067615,70,54140.383501
4.98031,70,54154.396
-0.660522,70,54164.482501
4.61218,70,54179.432
3.706043,70,54189.3395
3.936414,70,54203.0475
-0.664946,70,54214.757501
4.222427,70,54228.6645
-0.919878,70,54244.516
3.382611,70,54256.515999
0.973447,70,54272.3675
-2.046166,70,54285.385501
4.961678,70,54300.131001
3.241757,70,54310.240001
3.847871,70,54324.511999
2.610665,70,54334.825501
-0.154499,70,54349.3555
-0.538072,70,54359.124001
-0.09417,70,54374.514001
4.174537,70,54387.764
4.65593,70,54397.919002
2.755723,70,54411.148501
3.366201,70,54422.099501
-2.623349,70,54436.6
0.819232,70,54447.403502
4.460064,70,54462.901998
-2.236548,70,54473.523501
3.677955,70,54487.820001
2.369225,70,54497.163999
4.827322,70,54512.449001
2.515433,70,54525.846
2.838952,70,54536.489499
3.315885,70,54551.0265
1.464288,70,54561.219501
-2.156403,70,54576.949001
0.814505,70,54586.7695
-0.475979,70,54600.722501
2.414567,70,54610.869501
1.385107,70,54624.498501
0.064722,70,54636.021502
0.874294,70,54650.729
4.939299,70,54664.3275
4.375002,70,54673.393501
-0.940971,70,54688.3675
-3.745858,70,54699.704001
2.842673,70,54715.1965
4.205368,70,54724.717501
3.099281,70,54738.7205
3.163438,70,54748.609
4.071822,70,54762.662501
4.647069,70,54776.941501
0.178191,70,54788.079001
4.733299,70,54803.978501
4.598589,70,54815.407501
1.092945,70,54829.743001
-2.266102,70,54840.159
0.62115,70,54854.9955
3.596612,70,54865.269501
2.844431,70,54880.267501
4.175516,70,54891.032001
3.413533,70,54904.852001
4.21166,70,54918.399499
1.215399,70,54929.508
4.59976,70,54943.8325
0.391319,70,54954.171499
0.245565,70,54967.859
0.365899,70,54977.173499
3.86088,70,54991.379
0.584119,70,55001.698001
-0.588051,70,55015.698
0.467902,70,55024.940501
3.702462,70,55039.768001
4.882015,70,55055.246001
2.892767,70,55065.7885
2.503002,70,55080.201
0.72763,70,55091.340501
3.887421,70,55104.924999
2.937667,70,55114.649499
-0.131833,70,55129.299499
4.506575,70,55138.7005
3.894831,70,55151.8595
-1.047844,70,55163.184999
3.130663,70,55176.5275
4.016772,70,55191.333499
0.120685,70,55203.660501
-0.536273,70,55217.728501
-2.775625,70,55227.831
4.708421,70,55243.487999
4.695144,70,55254.678501
3.262422,70,55269.824
3.061464,70,55280.904999
3.249097,70,55296.316
2.800371,70,55306.2505
-0.044195,70,55320.599
0.006558,70,55334.081
-0.151957,70,55344.360501
1.555569,70,55359.425499
-2.809591,70,55370.318001
4.593335,70,55385.269001
4.547904,70,55394.456
4.004406,70,55408.362
0.498131,70,55419.3955
3.767151,70,55434.761
4.681254,70,55445.388
4.757846,70,55458.777499
1.255127,70,55471.6125
4.184643,70,55482.351501
1.258741,70,55495.3385
1.13522,70,55504.912001
3.732241,70,55520.187
4.798868,70,55531.8635
4.867123,70,55547.394001
-0.643115,70,55557.0725
-0.178736,70,55571.477001
2.820844,70,55583.7685
3.500726,70,55595.2615
2.354029,70,55609.451001
2.937465,70,55620.052001
2.556041,70,55635.326
0.67645,70,55645.6145
3.873292,70,55660.21
4.448495,70,55671.402997
4.00681,70,55684.6045
2.949692,70,55694.371001
1.835374,70,55707.276499
0.15749,70,55723.330501
1.701295,70,55733.011
1.35147,70,55748.776499
2.911657,70,55759.3555
0.378579,70,55777.305
2.758641,70,55788.650001
3.305277,70,55802.7075
4.37857,70,55813.831
1.346344,70,55828.577501
2.329488,70,55840.7595
-6.302867,70,55855.6315
-0.835011,70,55871.9345
3.039546,70,55882.33
3.039014,70,55896.630997
0.826974,70,55906.489999
-3.043273,70,55920.957001
-1.623571,70,55930.086501
-0.414491,70,55945.06
2.864478,70,55956.506
-1.566007,70,55971.861001
3.527177,70,55981.863999
0.729506,70,55997.1895
1.485577,70,56010.607
4.57726,70,56021.5425
0.407354,70,56037.203501
3.085232,70,56047.932001
0.709665,70,56063.7455
-0.453961,70,56074.706501
4.449779,70,56089.0955
-0.55495,70,56100.105999
2.493372,70,56113.082
0.038238,70,56124.938001
4.485909,70,56139.512499
1.839043,70,56152.698001
0.033122,70,56163.445501
4.516383,70,56179.531001
4.09862,70,56189.454501
0.157346,70,56204.2745
4.622728,70,56213.498501
3.201959,70,56228.259999
0.22313,70,56238.508
4.933833,70,56253.2115
3.202378,70,56263.107999
1.80519,70,56278.4645
-2.341273,70,56291.689501
3.118743,70,56302.441501
2.703277,70,56316.1895
2.722353,70,56327.104501
4.286874,70,56342.244
